Date,SUZLON-EQ O,SUZLON-EQ H,SUZLON-EQ L,SUZLON-EQ C,SUZLON-EQ V
29/03/2019,6.6,6.6,6,6.15,80972412
28/03/2019,6.65,6.75,6.4,6.5,63757781
27/03/2019,6.7,6.85,6.6,6.65,80841567
26/03/2019,6.5,6.95,6.4,6.65,116759228
25/03/2019,6.6,6.65,6.35,6.45,66138750
22/03/2019,6.9,7.05,6.6,6.7,94744499
20/03/2019,6.95,7.05,6.65,6.9,65113857
19/03/2019,7.2,7.25,6.9,7,59062584
18/03/2019,6.85,7.25,6.8,7.1,96725019
15/03/2019,7.05,7.1,6.7,6.8,58678228
14/03/2019,6.95,7.2,6.8,7.05,100737809
13/03/2019,7.2,7.25,6.7,6.8,94057245
12/03/2019,7.45,7.6,7,7.2,95583518
11/03/2019,7.35,7.8,7.3,7.4,121971137
08/03/2019,6.9,7.65,6.6,7.3,223909559
07/03/2019,7.9,7.9,6.8,6.9,202605456
06/03/2019,7.7,8.4,7.55,7.9,252786629
05/03/2019,6,7.6,5.95,7.45,244785748
01/03/2019,5.8,6,5.75,5.95,47308179
28/02/2019,5.55,5.95,5.55,5.75,73738268
27/02/2019,5.4,6.1,5.35,5.5,107411843
26/02/2019,5.35,5.65,5.2,5.35,73337677
25/02/2019,5.8,6.05,5.1,5.65,194987410
22/02/2019,4.6,6,4.5,5.75,200370841
21/02/2019,3.7,4.6,3.6,4.45,73864633
20/02/2019,3.55,3.75,3.55,3.7,13720587
19/02/2019,3.45,3.6,3.4,3.55,18779498
18/02/2019,3.45,3.6,3.35,3.45,30809316
15/02/2019,3.5,3.5,3.35,3.45,19021094
14/02/2019,3.4,3.55,3.25,3.5,30219473
13/02/2019,3.45,3.65,3.3,3.35,45290497
12/02/2019,3.45,3.65,3.3,3.45,29672745
11/02/2019,3.8,3.8,3.2,3.45,29913592
08/02/2019,3.9,3.9,3.6,3.7,32899222
07/02/2019,3.9,4.1,3.85,3.95,27799260
06/02/2019,3.7,4.05,3.4,3.85,69167359
05/02/2019,4.75,4.75,2.75,3.6,184031592
04/02/2019,4.9,4.9,4.65,4.75,22092957
01/02/2019,4.8,5.05,4.75,4.9,34746141
31/01/2019,5,5,4.55,4.7,42599703
30/01/2019,4.95,5.05,4.9,5,13420926
29/01/2019,4.95,5,4.9,4.95,6796335
28/01/2019,5.1,5.1,4.8,4.95,22110865
25/01/2019,5.15,5.2,5,5.05,12922568
24/01/2019,5.15,5.2,5.1,5.15,6256463
23/01/2019,5.2,5.25,5.1,5.15,11668259
22/01/2019,5.25,5.25,5.15,5.2,17568765
21/01/2019,5.25,5.3,5.2,5.25,13015541
18/01/2019,5.3,5.35,5.2,5.25,17363199
17/01/2019,5.35,5.35,5.25,5.3,19148504
16/01/2019,5.3,5.4,5.25,5.3,17125160
15/01/2019,5.3,5.4,5.2,5.3,14019108
14/01/2019,5.35,5.35,5.25,5.3,13049474
11/01/2019,5.45,5.45,5.3,5.35,16471318
10/01/2019,5.35,5.5,5.3,5.45,16730278
09/01/2019,5.4,5.4,5.2,5.35,15578959
08/01/2019,5.35,5.4,5.3,5.35,13516880
07/01/2019,5.5,5.55,5.3,5.35,23677578
04/01/2019,5.35,5.5,5.15,5.45,34650602
03/01/2019,5.4,5.4,5.3,5.3,9656839
02/01/2019,5.45,5.45,5.3,5.35,13545713
01/01/2019,5.45,5.5,5.35,5.45,9806032
