Date,TATAMOTORS-EQ O,TATAMOTORS-EQ H,TATAMOTORS-EQ L,TATAMOTORS-EQ C,TATAMOTORS-EQ V
29/03/2019,171.15,177,171.15,174.25,17762616
28/03/2019,169,171.4,167.55,170.55,13203927
27/03/2019,174,175,169.15,169.85,10047628
26/03/2019,171.9,173.6,171.6,173.1,7820112
25/03/2019,173.7,173.8,170.55,171.3,11864723
22/03/2019,181.95,182,174.9,175.4,11505994
20/03/2019,183,183.45,179.6,180.2,7543753
19/03/2019,182,184.5,180.75,182.85,10318028
18/03/2019,181,184.7,179.5,182.25,14690339
15/03/2019,180.2,181.4,177.6,180,17490993
14/03/2019,181.5,182.45,177.65,179.55,15737080
13/03/2019,184.45,184.9,180.4,181.7,9769821
12/03/2019,184.4,186,183.55,184.8,18657724
11/03/2019,182,184.6,181.05,181.85,25669662
08/03/2019,187.8,187.95,180,181.2,28012914
07/03/2019,191.4,193.45,187.8,189.3,27051501
06/03/2019,195.4,195.4,187.75,188.8,22468702
05/03/2019,183.8,198.35,181.4,194.05,58138551
01/03/2019,178.65,184,177.35,180.3,20539919
28/02/2019,180,181.55,176.6,177.45,18692372
27/02/2019,183.55,186.1,176.1,177.35,19723906
26/02/2019,173,183.45,172.5,182.65,31859427
25/02/2019,175.15,177.5,173.5,175.75,15554532
22/02/2019,170,175.3,167.85,174.3,13011477
21/02/2019,165.6,170.6,165.1,169.7,14811723
20/02/2019,164.45,166.7,163.75,164.8,11610728
19/02/2019,164,165.95,161.55,163.75,14533142
18/02/2019,162.8,163.45,159.2,162.9,13503666
15/02/2019,159.8,162.3,153.15,161.65,20705576
14/02/2019,155.95,161,153.8,159.85,16348306
13/02/2019,152.95,156.65,151.5,155,15340343
12/02/2019,152.95,154.4,150.6,151.8,14174912
11/02/2019,150.15,153.25,145.85,152.65,26161867
08/02/2019,164.6,164.6,129,150.7,102256857
07/02/2019,179,185,178.9,182.85,16152722
06/02/2019,176,179.45,171.9,178.5,10334594
05/02/2019,180.7,181.15,174.7,175.8,12064426
04/02/2019,181,183.7,178.2,180.25,11854351
01/02/2019,182,185.9,179.55,181.65,14931422
