Date,TATAMTRDVR-EQ O,TATAMTRDVR-EQ H,TATAMTRDVR-EQ L,TATAMTRDVR-EQ C,TATAMTRDVR-EQ V
29/03/2019,85,87.2,84.95,85.55,2707221
28/03/2019,85,85.5,83.95,84.5,3974385
27/03/2019,86.6,86.7,84.6,85.25,2247979
26/03/2019,85.9,86.45,85.05,86.15,1396983
25/03/2019,86,86.2,85,85.2,1387730
22/03/2019,90.2,90.2,86.5,86.8,2299055
20/03/2019,90.2,90.75,88.3,89.2,2125752
19/03/2019,90.95,91.2,89.55,90.2,2628801
18/03/2019,89.5,91.8,89.5,90.65,2678424
15/03/2019,90.5,90.95,88.25,89.95,4351921
14/03/2019,91.2,91.45,89.5,90.2,2163467
13/03/2019,92.9,93.3,90.8,91.2,1824355
12/03/2019,93.9,94.3,92.45,92.9,2445946
11/03/2019,92,93.2,91.75,92.65,2117039
08/03/2019,93.5,93.95,90.7,91.6,4419931
07/03/2019,96,97.5,93.55,94.9,5602395
06/03/2019,95.9,96.65,93.9,94.45,3403451
05/03/2019,92.45,97.6,91,95.8,13003696
01/03/2019,89.4,90.7,87.8,90.25,8598966
28/02/2019,88.7,89.5,86.85,87.7,7758232
27/02/2019,91.2,91.75,87.5,88.2,3510110
26/02/2019,87,91.6,87,90.85,5068764
25/02/2019,89.8,90.65,88.6,89.65,2569945
22/02/2019,87.85,89.6,86.7,89.2,3311777
21/02/2019,86,88.4,85.6,87.85,2887283
20/02/2019,85.3,86.45,85.1,85.8,866993
19/02/2019,84.8,86.15,83.95,85.1,1660174
18/02/2019,84.2,84.8,83,84.4,1583783
15/02/2019,84.6,84.6,80.7,84,3003394
14/02/2019,80.25,84.85,80.25,84.1,3108848
13/02/2019,80.55,81.6,80,80.45,2930378
12/02/2019,81,81.6,80,80.35,1965087
11/02/2019,79.6,81.8,78.65,81.4,3766708
08/02/2019,85,85,71,80.85,17829530
07/02/2019,92.25,95.3,92.25,94.4,1828459
06/02/2019,91,92.5,88.75,92.25,1484488
05/02/2019,93.4,93.85,90.05,90.7,2026371
04/02/2019,91.35,94.7,91.35,93.15,2015682
01/02/2019,93,95.95,92.95,94.1,2296335
31/01/2019,90.8,94.5,90.75,93.65,3664954
30/01/2019,89.45,91.75,89.45,90.55,2009667
29/01/2019,88.85,90.8,88.55,90.3,1414154
28/01/2019,91,91.4,87.4,88.9,2443776
25/01/2019,93,93.85,90.05,90.45,3230496
24/01/2019,95.4,95.65,91.8,92.75,2739738
23/01/2019,96.25,96.55,95,95.55,2884877
22/01/2019,96.15,96.15,93.4,95.6,2709189
21/01/2019,97.05,97.7,95.5,96.2,1376118
18/01/2019,98.5,98.55,96.1,97.1,1162618
17/01/2019,99.35,99.6,96.8,98.15,1380127
16/01/2019,99,99.9,97.85,98.75,2944836
15/01/2019,96.65,98.8,95.65,98.45,2024350
14/01/2019,95.5,96.95,94.15,96.4,1969605
11/01/2019,98.55,98.8,95.05,95.8,3921502
10/01/2019,97.05,98.5,96.95,98.05,3309742
09/01/2019,96.55,97.35,95.5,96.9,3811519
08/01/2019,93.6,96.3,93.6,96,3041123
07/01/2019,92.6,95.35,92.3,93.9,3790291
04/01/2019,90.5,92.2,90.25,91.5,3098808
03/01/2019,90.8,91,88.6,89.05,1527655
02/01/2019,92,92.35,90.05,90.45,2573415
01/01/2019,92.65,93.4,91.9,93.1,1368683
31/12/2018,92.9,93.35,92.1,92.65,1474160
28/12/2018,91.2,92.95,91.2,91.95,1724535
27/12/2018,95,95,90.55,91.1,2719079
26/12/2018,93.55,93.95,91.55,93.05,2509687
24/12/2018,96.1,96.85,93.7,94.15,2006362
21/12/2018,96.8,98.65,95.5,96.3,3813033
20/12/2018,95.25,96.85,94.35,96.5,1905859
19/12/2018,97,97,94.9,95.6,1681995
18/12/2018,95.75,97.2,94.5,96.1,2666726
17/12/2018,92,96.35,91.9,95.75,4012756
14/12/2018,90.6,92.7,90.3,91.8,1909013
13/12/2018,90.05,92,90.05,90.95,1948463
12/12/2018,86.5,90.6,86.1,89.5,3900192
11/12/2018,85,87.65,84.8,85.9,3143345
10/12/2018,86.65,88.1,86,86.2,1793416
07/12/2018,88.75,89.65,87.5,89.1,2217387
06/12/2018,91.05,92,88.35,88.6,3376394
05/12/2018,94.05,94.2,92.1,92.45,3473638
04/12/2018,97.8,97.8,95.5,96.25,2400523
03/12/2018,95,96.25,92.7,95.3,3066836
30/11/2018,94,96.2,92.65,93.75,1868437
29/11/2018,96.4,97,94.55,96.05,2562749
28/11/2018,98.2,98.55,95.2,95.55,1614989
27/11/2018,98.1,99.75,97.05,98.1,1612204
26/11/2018,99,99.6,96.2,98.75,1650893
