Date,TATAPOWER-EQ O,TATAPOWER-EQ H,TATAPOWER-EQ L,TATAPOWER-EQ C,TATAPOWER-EQ V
29/03/2019,72.4,74.55,72.05,73.8,9465677
28/03/2019,71.9,72.65,71.1,71.55,9265724
27/03/2019,71.45,72.9,71.1,71.4,4812399
26/03/2019,72.45,73,70.85,71.3,3789439
25/03/2019,72.45,73.15,70.55,71.9,4332510
22/03/2019,73,73.8,72,72.55,3913385
20/03/2019,73.2,73.85,71.7,72.05,5050030
19/03/2019,73.45,74.3,72.7,73,5567624
18/03/2019,74.1,74.7,72.7,73.05,5296795
15/03/2019,73,74.75,72.8,73.8,7751928
14/03/2019,74.15,74.15,72.75,73.05,3962991
13/03/2019,73,74.45,72.15,73.8,7408808
12/03/2019,72.1,74,71.95,73.35,8901828
11/03/2019,71.2,72.1,70.3,71.7,5319324
08/03/2019,70.45,70.75,68.85,70,6200799
07/03/2019,73,73.95,70.35,70.55,12534795
06/03/2019,70,72.15,69.2,71.3,11046556
05/03/2019,67.85,69.65,67.2,69.15,13327374
01/03/2019,66,67.75,65.6,67.05,11001198
28/02/2019,65.9,66.25,65.1,65.45,9665743
27/02/2019,66.55,67.95,65.15,65.5,4724311
26/02/2019,66.3,67.15,64.05,66.15,10552247
25/02/2019,67.1,67.45,66.4,66.55,3161336
22/02/2019,67.5,67.95,66.75,67.1,3078805
21/02/2019,67.7,68.15,66.85,67.45,3283026
20/02/2019,66.45,67.95,65.8,66.9,5950455
19/02/2019,65.9,67.15,65.65,65.9,2892850
18/02/2019,69.2,69.5,65.05,65.35,6717626
15/02/2019,67.3,70.2,66.45,69.2,11110591
14/02/2019,65.8,67.85,65.1,67.55,6828282
13/02/2019,66.5,68.15,64.6,65.25,4469396
12/02/2019,65.65,67.25,65.5,66.3,4213698
11/02/2019,68.45,68.45,65.15,65.55,7041255
08/02/2019,69.05,70.35,68.05,68.75,2124482
07/02/2019,70.4,71.4,69.15,69.6,3536220
06/02/2019,69.8,70.9,68.4,70.4,3066537
05/02/2019,70.25,71.75,69.25,69.9,2916745
04/02/2019,71,71.15,69.55,70.55,3028680
01/02/2019,71.5,72.3,70.25,71.5,3343602
31/01/2019,68.45,72,67.9,71.3,7442257
30/01/2019,71.2,71.5,67.9,68.15,4846733
29/01/2019,68.5,72.4,68.5,71.05,12562431
28/01/2019,73.95,73.95,69.65,70.95,5766908
25/01/2019,74.7,75.3,73.45,73.95,3724093
24/01/2019,75.3,75.75,74.3,74.55,3700318
23/01/2019,77,77.95,74.85,75.2,5394325
22/01/2019,75.9,77.5,74.9,76.35,4074882
21/01/2019,76,77.2,75.45,75.95,5188679
18/01/2019,76,76.45,75.15,76,4009644
17/01/2019,76.35,76.95,74.95,76,4496763
16/01/2019,75,76.95,74.5,76.5,4222858
15/01/2019,74.5,75.25,74.15,75.05,3099444
14/01/2019,75,75,73.7,74.3,3702534
11/01/2019,75.1,75.25,73.8,75,3214817
10/01/2019,74.25,75.1,73.9,74.9,1704653
09/01/2019,75.1,75.5,73.85,74.35,2006348
08/01/2019,74.75,75.5,74.55,74.95,1684121
07/01/2019,75.45,75.75,74.25,74.7,1691362
04/01/2019,74.3,75.55,73.7,75.05,3170169
03/01/2019,76,76.25,73.85,74.2,4583837
02/01/2019,76.8,76.95,74.4,74.85,2504768
01/01/2019,77,77.25,76.3,76.7,2153622
31/12/2018,77.35,78,76.1,76.8,3602334
28/12/2018,77.15,77.85,76.8,77.1,3477676
27/12/2018,76.7,77.7,75.5,77,12997320
26/12/2018,76.6,76.7,74.85,75.95,4017872
24/12/2018,76.8,78.65,76.1,76.8,5132728
21/12/2018,80.5,80.65,76.05,76.45,7243377
20/12/2018,76.05,80.9,76.05,80.25,9768078
19/12/2018,78.8,80.3,78.6,79.5,3721346
18/12/2018,77.75,78.95,77.45,78.65,3915779
17/12/2018,79.6,80.9,77.4,77.9,3358110
14/12/2018,78.75,79.85,78.15,79.3,1828782
13/12/2018,79.25,81.3,77.5,78.7,5535207
12/12/2018,79.35,79.95,77.75,79.1,4227632
11/12/2018,76.1,80.15,75.85,79.15,3917069
10/12/2018,78.5,79.3,76.3,77.65,3040723
07/12/2018,80,81.15,78.35,79.45,5677506
06/12/2018,80.2,80.2,78.8,79.4,4685342
05/12/2018,80.75,81.5,79.9,80.45,4817088
04/12/2018,82.55,83.85,80.7,81.5,9652045
03/12/2018,76.9,83.15,76.75,82.55,29213251
30/11/2018,75.2,76.5,73.75,76.1,8135493
29/11/2018,74.9,75.75,73.4,75.2,14742072
28/11/2018,76.1,76.1,73.85,74.4,3949157
27/11/2018,75.65,76.2,74.5,75.65,4127732
26/11/2018,75.5,76.4,74.45,75.55,4950029
22/11/2018,77.75,78.25,74.5,74.9,4807716
21/11/2018,78.1,79.1,76.75,78.15,4999835
20/11/2018,77.35,78.85,76.35,78.3,10567258
19/11/2018,76.9,77.8,75.8,77.35,5660440
16/11/2018,76.8,77.4,75.1,76.8,4743419
15/11/2018,78,78.4,75.9,76.7,3328106
14/11/2018,76.3,78.75,75.5,77.95,5642238
13/11/2018,74.05,76.5,73.1,76.05,5609725
12/11/2018,75.85,76.4,74.15,74.55,3131624
09/11/2018,76.45,77.1,75,75.9,8564873
07/11/2018,76.45,76.5,75.5,75.95,437631
06/11/2018,75.45,77.1,75,75.65,4673161
05/11/2018,74.9,75.85,73.25,75.3,4561329
02/11/2018,77.2,77.4,75.3,76,7177611
01/11/2018,76.3,77.7,75.3,76.35,9074632
31/10/2018,78.2,79,74.65,76.55,9638641
30/10/2018,78.5,80.05,76.65,77.75,17409930
29/10/2018,69.2,86.1,68.35,77.6,44673883
26/10/2018,68.9,70.75,68,68.9,5515389
25/10/2018,68.8,69.9,67.55,69,9727241
24/10/2018,69.6,70.9,68.5,69.25,2743564
23/10/2018,69.3,69.9,67.95,69.45,4377235
22/10/2018,70.8,71.4,68.8,69.6,7954462
19/10/2018,72,72.4,69.3,70.15,4497227
17/10/2018,74.25,74.6,71.7,72.55,10862420
16/10/2018,71.55,74.05,70.5,73.8,11095793
15/10/2018,69.95,71.6,68.8,71.25,11621446
12/10/2018,63.1,72.1,62.95,68.85,29093448
11/10/2018,62.8,63.9,61.6,62.25,5043513
10/10/2018,61.3,65.45,61.25,65,5665257
09/10/2018,61.95,62.4,59.8,60.95,4969265
08/10/2018,62.85,65.3,60.35,61.5,4837741
05/10/2018,67.5,67.5,62.3,62.85,3751740
04/10/2018,66.9,68,66.1,66.85,2925150
03/10/2018,67.7,69.25,66.35,67.5,3650280
01/10/2018,66.45,68.4,64.8,67.95,5836832
28/09/2018,69.1,69.35,65.5,65.85,4314947
27/09/2018,70.05,70.65,68.2,68.6,3697390
26/09/2018,70.7,70.95,68.9,70.25,3273684
25/09/2018,69,71.3,68,70.3,6281761
24/09/2018,72.8,72.9,68.1,69.1,5131356
21/09/2018,75.55,76.5,68.25,72.9,11584620
19/09/2018,75.25,77.35,74.8,75.55,5377830
18/09/2018,77.9,78.95,74.05,74.6,5822581
17/09/2018,75.95,78.7,75.1,77.9,4917413
14/09/2018,74.15,76.5,74.15,76.2,3673610
12/09/2018,74.8,74.95,72.9,74,3114148
11/09/2018,73.95,76.95,73.9,74.45,9600604
10/09/2018,75.35,75.8,73.5,73.8,2481496
07/09/2018,74.95,75.95,73.85,75.2,3672000
06/09/2018,75.35,75.8,73.6,75.05,3305924
05/09/2018,73.5,75.35,72.7,74.9,4558713
04/09/2018,78.85,78.85,72.75,73.35,6421244
03/09/2018,77,79,76.25,78.2,9367421
31/08/2018,75.5,77.6,74.35,76.7,8664078
30/08/2018,77,77.4,75.7,76.1,3984371
29/08/2018,74.45,77.65,74.4,76.9,5498653
28/08/2018,75.4,76.75,73.85,74.85,6849642
27/08/2018,71.8,76.6,71.8,75.6,8322360
24/08/2018,71.8,72.5,70.6,71.75,1880021
23/08/2018,73.4,73.4,71.15,72.05,3874963
21/08/2018,69.8,73,69.7,72.25,4051774
20/08/2018,68.9,70.35,68.5,70.05,1947407
17/08/2018,67.4,69,67.05,68.65,2814891
16/08/2018,68.55,68.55,67,67.15,3007914
14/08/2018,69.05,69.55,68.6,68.75,1529387
13/08/2018,69.15,70.05,68.55,68.75,2145648
10/08/2018,69.9,71.15,69,69.35,2354841
09/08/2018,70,70.4,69.2,69.9,1540636
08/08/2018,70.3,70.85,69.1,69.45,2391506
07/08/2018,72,72.1,70.05,70.3,2069542
06/08/2018,72.6,72.9,71.65,71.85,1936040
03/08/2018,71.85,73.2,71.85,72.35,2275783
02/08/2018,73,73.1,71.4,71.95,2722659
01/08/2018,74.4,74.7,72.65,73.05,1910149
31/07/2018,73.8,75,72.6,74.55,3593905
30/07/2018,71.9,74.7,70.9,73.85,5228991
27/07/2018,71.05,72.5,70.85,71.85,4748886
26/07/2018,68,72.5,68,70.85,13063298
25/07/2018,68.1,69.45,67.5,67.8,2761319
24/07/2018,68.2,69,67.25,67.8,8544903
23/07/2018,67.9,68.7,66.55,68.05,3592808
20/07/2018,68.2,68.3,67.15,67.85,2467860
19/07/2018,70.2,70.45,67.6,68.2,2671048
18/07/2018,70.9,71.8,68.9,70,4730154
17/07/2018,68.7,71.3,68.05,70.9,2621707
16/07/2018,70,70.15,68.65,68.95,2182138
13/07/2018,69.7,70.5,69.1,70.15,3113836
12/07/2018,71.4,71.7,69.3,69.5,4361939
11/07/2018,72.55,73.45,71.65,72.2,2829649
10/07/2018,73.75,74.1,72.75,73.05,1897237
09/07/2018,72,73.8,72,73.2,1713958
06/07/2018,71.2,72.35,71,71.75,1688831
05/07/2018,72,72.2,71.1,71.25,1328748
04/07/2018,72.25,72.55,71.6,72.05,2327587
03/07/2018,72.5,73,71.9,72.2,3149476
02/07/2018,73.6,73.85,71.9,72.25,2632012
29/06/2018,72,73.65,71.8,73.25,3668110
28/06/2018,71.4,74.85,71,71.65,7471148
27/06/2018,75,75.25,71.3,71.9,4334784
26/06/2018,76.55,76.55,75,75.1,2552275
25/06/2018,76.75,77.3,76,76.35,4466618
22/06/2018,75.1,76.35,75,76.15,3099772
21/06/2018,74.8,75.2,73.9,74.55,2985501
20/06/2018,73.35,74.5,72.8,73.85,3586906
19/06/2018,74.6,74.85,73.05,73.4,3696735
18/06/2018,76.1,76.35,74.8,75,1857389
15/06/2018,77.4,77.6,75.9,76.1,2703757
14/06/2018,77.2,77.75,76.35,77.3,2956563
13/06/2018,78.2,78.35,76.8,77.05,3049374
12/06/2018,79,79.2,77.7,77.8,3505780
11/06/2018,78.3,80.35,78.1,78.4,7365983
08/06/2018,79,79,77.7,77.95,4045326
07/06/2018,78.7,79.9,78.1,78.35,3366418
06/06/2018,78.7,79.7,77.45,78.1,2849279
05/06/2018,77.1,79.25,76.3,78.8,5406955
04/06/2018,79.65,80.05,76.6,77.2,2185214
01/06/2018,80.65,81.25,78.3,79.6,3087156
31/05/2018,82.45,83.2,79.85,81.3,9109367
30/05/2018,82.45,84,81.5,82.45,5164168
29/05/2018,82,84.35,81.6,83.5,7252300
28/05/2018,81.25,83,80.65,82.3,3655542
25/05/2018,76.4,81.7,75.95,81.2,6118812
24/05/2018,77.55,77.9,75.3,76.45,5298717
23/05/2018,78,78.55,77.05,77.45,2530994
22/05/2018,78.95,79.25,77.7,77.85,3793522
21/05/2018,80.75,80.8,78.35,78.8,3399879
18/05/2018,81.5,81.5,80.25,80.85,7138023
17/05/2018,81.5,82.5,80.55,81.65,5906232
16/05/2018,80.7,81.5,80.5,81.25,2846781
15/05/2018,81.35,82.1,80.35,81.25,4188197
14/05/2018,81.6,82,80.35,81.55,7645061
11/05/2018,81.8,82.4,80.8,81.9,4097448
10/05/2018,83.35,83.75,80.85,82,5727033
09/05/2018,84,84.6,82.9,83.35,4556128
08/05/2018,85.2,86.2,82.7,84.25,6183895
07/05/2018,84.9,86.15,84.35,85.1,6888782
04/05/2018,86.1,86.55,83.4,85.45,8584365
03/05/2018,88,88.75,84.9,86.15,8417244
02/05/2018,88.75,89.55,86.3,87,5877657
30/04/2018,87.85,89.15,87.1,88.3,6431222
27/04/2018,85.9,88.6,85.2,87.8,6838988
26/04/2018,86,87.2,84.9,86.05,3632913
25/04/2018,85.1,86.95,84.75,86.05,3593228
24/04/2018,85.4,86.25,84.55,85.25,5006507
23/04/2018,85.5,86.1,84.6,85.4,4863546
20/04/2018,86.8,86.9,85.5,85.9,4158260
19/04/2018,87.85,88.55,86.5,86.8,7133021
18/04/2018,87.55,88.35,87.1,87.65,3471674
17/04/2018,87.85,88.1,87,87.45,3111160
16/04/2018,86.85,88.25,85.65,87.8,2340628
13/04/2018,87.8,88.7,87.2,87.65,4719330
12/04/2018,87.1,88.45,86.3,87.85,8423805
11/04/2018,86.9,88.1,86,87,5792098
10/04/2018,85.3,87.6,84,87.1,8597297
09/04/2018,84.15,85.4,83.95,85,1829399
06/04/2018,83.55,85.1,82.6,84.5,4231975
05/04/2018,84,84.75,83.3,83.5,2956519
04/04/2018,84.7,85.95,82.55,83.05,4973672
03/04/2018,81.15,84.6,81.15,84.45,3298435
02/04/2018,79,82.2,78.75,81.9,3657360
28/03/2018,79.8,80.35,78.35,79,10620637
27/03/2018,80.45,81.5,79.7,80.1,4073519
26/03/2018,81,81.25,78.75,79.9,6556759
23/03/2018,78,80.3,78,80,6418882
22/03/2018,79.9,80.35,79.75,80,3112967
21/03/2018,80.4,80.75,79.8,79.95,5279874
20/03/2018,78.8,80.55,78.8,80.35,2206517
