Date,TATASTEEL-EQ O,TATASTEEL-EQ H,TATASTEEL-EQ L,TATASTEEL-EQ C,TATASTEEL-EQ V
29/03/2019,510,525,509,521,11945365
28/03/2019,514.4,516.45,504.8,506.3,8965093
27/03/2019,520,523,513.05,515.8,5239158
26/03/2019,516,520.95,514.15,519.35,3329825
25/03/2019,512.8,517.7,507.05,515.15,5036887
22/03/2019,517,524,515.6,518.4,5233446
20/03/2019,526.05,526.25,511.05,513.6,8702307
19/03/2019,527.8,531.9,520.65,527.5,6329840
18/03/2019,519.5,526.75,515.25,525.2,6317605
15/03/2019,518,520.95,512.45,515.45,4233938
14/03/2019,513.95,521.8,513.5,517.65,4496642
13/03/2019,525,525,512.6,513.75,6409153
12/03/2019,524.4,530.5,521,525.15,8298275
11/03/2019,510,522.4,509.5,520.65,5908275
08/03/2019,516.8,518.6,506.3,507.85,6504847
07/03/2019,519.85,523.2,513.55,521.15,6153631
06/03/2019,522.9,525.35,515.45,520.85,6311227
05/03/2019,508.4,522.9,505.2,521.75,9118037
01/03/2019,503.5,509.7,502,507.6,6672569
28/02/2019,506.6,511,498.3,500.45,7485418
27/02/2019,507,512.3,497.95,507.1,9444346
26/02/2019,498,508.6,491.7,503.6,9856299
25/02/2019,504,509.5,498.25,505.1,10357604
22/02/2019,497,504,492.1,502.3,10005723
21/02/2019,492.55,502.9,490.35,498.85,11782714
20/02/2019,472.5,493.85,472.5,491.15,15487251
19/02/2019,465.4,480.6,465.4,470.95,8224545
18/02/2019,468.9,477,464.4,465.55,6253514
15/02/2019,483,483.4,462.65,467.5,7499240
14/02/2019,482,486.35,475.4,482.55,6185042
13/02/2019,490,493.35,481.95,484,8403265
12/02/2019,478.4,497.2,476.7,487.4,18836111
11/02/2019,475,487,460.3,480.7,23262314
08/02/2019,483,487.75,465.95,468.75,8414514
07/02/2019,483.45,491.4,478.1,489.05,7857338
06/02/2019,466,486.7,463.8,485.1,10999265
05/02/2019,477,477,459.45,464.7,7281927
