Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
29/03/2019,2019,2024.7,1983.65,2001.65,2941067
28/03/2019,1980,2014.6,1972.8,2000.3,4054489
27/03/2019,1994,1998,1961,1967.9,2266166
26/03/2019,1984,1994.95,1958.05,1982.65,2316539
25/03/2019,2007.8,2007.8,1977.2,1984.25,2429205
22/03/2019,2015,2016,1983.3,2005.65,3148149
20/03/2019,2028,2044.8,2000,2015.05,3091165
19/03/2019,2030,2030,1995.1,2022.8,2373993
18/03/2019,2043,2064.6,2011,2022.8,2349915
15/03/2019,1998.9,2068.95,1991,2039.95,5184318
14/03/2019,2004.95,2007.8,1981,1987.4,1905495
13/03/2019,2013,2015.9,1978.6,2000.5,1833163
12/03/2019,2014.05,2024.8,2003,2012.45,2658550
11/03/2019,2028.9,2033,2003.65,2014.8,3111689
08/03/2019,2025,2033,2010.05,2022.7,2031071
07/03/2019,2005,2024.05,2000.2,2013.3,2539884
06/03/2019,1989.3,2015,1985.05,1999.6,2635047
05/03/2019,2005,2007,1976.6,1988.1,2449622
01/03/2019,1995.05,2005,1980.35,1995.4,4148548
28/02/2019,2060,2071.35,1977.6,1983.45,8454295
27/02/2019,2040,2074.95,2022,2058.1,4732082
26/02/2019,1984,2045.15,1972.25,2038.7,6453309
25/02/2019,1932.5,1990,1930.5,1985.15,2934880
22/02/2019,1917.2,1930,1905.1,1925.65,2271955
21/02/2019,1914.75,1940,1897.05,1914.2,4683919
20/02/2019,1915,1933.8,1881.3,1914.75,4645778
19/02/2019,1970,1971,1892,1904.8,4408554
18/02/2019,2037.6,2041.95,1962.65,1970.3,2942184
15/02/2019,2049,2052,2010.95,2029.7,1930065
14/02/2019,2060.05,2075,2033.05,2044.6,1724085
13/02/2019,2062,2083,2050.5,2065.4,2808581
12/02/2019,2070,2070,2018,2051.6,2422903
11/02/2019,2060,2096,2048.9,2065.9,1778730
08/02/2019,2075,2089.5,2051,2061.4,1684474
07/02/2019,2074.75,2097.95,2067,2082.9,1339945
06/02/2019,2049.9,2086.85,2041.05,2074.8,1789812
05/02/2019,2050,2055,2028,2044.55,1111404
04/02/2019,2029.95,2055.45,2023,2050.25,1590764
