Date,TITAN-EQ O,TITAN-EQ H,TITAN-EQ L,TITAN-EQ C,TITAN-EQ V
29/03/2019,1134.05,1151.5,1112,1141.85,2765680
28/03/2019,1120,1139.55,1111.45,1134.25,2292966
27/03/2019,1125,1125,1106,1116.5,1668427
26/03/2019,1105,1120,1088.35,1115.75,1851505
25/03/2019,1102,1106.5,1090.4,1100.1,909855
22/03/2019,1103.6,1124.4,1093.7,1102.55,2486418
20/03/2019,1111,1115,1098,1102.35,1295061
19/03/2019,1102,1112,1098.6,1109.05,1376594
18/03/2019,1105,1108.9,1092.1,1101.3,1856664
15/03/2019,1087,1113.8,1082,1097.25,5318660
14/03/2019,1078.9,1089,1063.15,1086.35,1193296
13/03/2019,1087.4,1093.9,1065.1,1078.3,2024554
12/03/2019,1074.95,1095.95,1072,1086.45,3418782
11/03/2019,1058,1074.6,1057.6,1069.2,2837644
08/03/2019,1044.75,1059.55,1037,1053.2,2179863
07/03/2019,1069,1069,1039,1043.3,2584721
06/03/2019,1038,1060.9,1028.3,1055.95,2758056
05/03/2019,1023.6,1039.95,1016.2,1035,1577329
01/03/2019,1031.9,1036,1017.1,1021.35,1967656
28/02/2019,1018,1033.8,1002.05,1025.2,5080712
27/02/2019,1042.9,1047.15,1013.95,1016.25,1897310
26/02/2019,1039,1041.9,1016.05,1038.35,1906268
25/02/2019,1038,1055,1035.6,1043,1691809
22/02/2019,1035.5,1044,1030.3,1041.6,1298608
21/02/2019,1039.9,1045,1031.25,1042.5,1220939
20/02/2019,1030,1044.4,1027.5,1032.75,1506583
19/02/2019,1030.45,1049.8,1025.3,1028.8,1551617
18/02/2019,1040.1,1040.65,1021.3,1027.35,1023065
15/02/2019,1035,1052,1016.8,1039,2566210
14/02/2019,1063.95,1063.95,1030.5,1042.25,2182379
13/02/2019,1068.3,1071.25,1047.8,1050.95,1185932
12/02/2019,1058,1073.95,1050.1,1066.25,3075801
11/02/2019,1059,1063.5,1045.2,1056.4,1057548
08/02/2019,1058.5,1076.85,1047.6,1053.25,2576054
07/02/2019,1059.8,1067.05,1050,1056.8,1293109
06/02/2019,1066,1072,1050.5,1059.05,2449722
05/02/2019,1026.95,1074,1020,1066.7,7144200
04/02/2019,1025,1050,1009.05,1025.75,9556052
01/02/2019,1003,1005,985.1,991.55,3424938
31/01/2019,968.2,1000,966.5,995.8,2306391
30/01/2019,966.1,974.95,960.05,968.9,1468812
29/01/2019,955.2,970,945,966.1,1411027
28/01/2019,978,981.2,955.2,958.65,1499181
25/01/2019,972,984,969.15,978,1985833
24/01/2019,960.2,972.3,955.9,969.65,1246903
23/01/2019,987.4,987.4,957.6,962.15,1574247
22/01/2019,962.15,986.4,958.7,982.65,2797244
21/01/2019,960.1,965.8,957,962.75,1035360
18/01/2019,961.55,965,954.05,960.95,1168989
17/01/2019,961.35,965,951.55,961.55,1303576
16/01/2019,965.3,970.4,959.3,961.2,1118736
15/01/2019,956,970.7,955.1,968.3,1452136
14/01/2019,958,961.35,949,957.5,864306
11/01/2019,965.25,969.5,956.8,959.3,1535995
10/01/2019,950.4,969.4,948.55,966.7,2450895
09/01/2019,949,955.35,945.35,952.95,2115974
08/01/2019,944.2,950,938.55,946.15,2039160
07/01/2019,950,964,934.1,944.05,5337211
04/01/2019,934,938.9,920.2,928.45,2340304
03/01/2019,936,944.95,928,931.2,3292918
02/01/2019,923.3,937,923.3,932.15,2672587
01/01/2019,931.75,934.2,923,928,2064502
31/12/2018,926,939.5,920.35,931,4917511
28/12/2018,904,925.75,898.8,922.7,8067914
27/12/2018,896,897.8,881.5,887.65,2160188
26/12/2018,879,900,868.2,889.15,3840772
24/12/2018,900.1,902.8,874,879.85,2554749
21/12/2018,927.85,927.85,897.25,900.05,2972085
20/12/2018,928,933,922.2,926.75,1630740
19/12/2018,933.1,941.55,927.5,929.2,2237859
18/12/2018,932.5,938.75,930.8,933,2222788
17/12/2018,931.75,937.2,925.4,935.3,2284630
14/12/2018,943.65,951.7,928.45,931.5,2558651
13/12/2018,932.1,961.25,924.25,944.15,4821052
12/12/2018,937.5,938.1,921,929.95,3256275
11/12/2018,899,936.95,894.15,933.15,2792386
10/12/2018,905,916,898,907.1,1508069
07/12/2018,911,921.45,893.3,916.6,2750589
06/12/2018,913,920,902,905.75,1425935
