Date,TORNTPOWER-EQ O,TORNTPOWER-EQ H,TORNTPOWER-EQ L,TORNTPOWER-EQ C,TORNTPOWER-EQ V
29/03/2019,251,258.3,250.7,257.5,1219793
28/03/2019,251.85,254.25,248.2,250,720088
27/03/2019,255,257.25,250,251.85,836966
26/03/2019,254.2,256.8,250.9,254.1,941683
25/03/2019,253.5,256,251.5,253.5,461820
22/03/2019,258.95,261.75,254.4,255.05,543330
20/03/2019,265.85,265.85,259.5,260.25,644061
19/03/2019,267.25,269.4,262.05,264.1,1506411
18/03/2019,256.8,262.7,255.75,261.3,664308
15/03/2019,256.2,258.45,254.45,256.7,348927
14/03/2019,256.8,257.7,253.45,256.2,366886
13/03/2019,256.75,259.3,254.55,255.7,541890
12/03/2019,258,260,254.55,256.55,1033450
11/03/2019,249.4,257.75,248.3,256.7,1275655
08/03/2019,248.9,251.75,243.75,249.35,1042565
07/03/2019,248.5,250.55,244.25,249.05,1464502
06/03/2019,250.15,253.5,247.1,248.15,889091
05/03/2019,246.85,251.7,246,248.95,1486682
01/03/2019,244.9,247.85,242.95,245.45,681309
28/02/2019,244,246.8,242.15,242.95,864971
27/02/2019,243.75,247.7,236.9,242.7,3038061
26/02/2019,237,246.7,237,244.7,3590167
25/02/2019,234.7,245.1,230.2,240.55,2213736
22/02/2019,231.55,235.35,230.65,232.7,992579
21/02/2019,239,239.45,233.6,234.35,878392
20/02/2019,234.7,240.8,234.7,239.05,1711771
19/02/2019,232.05,238.2,232.05,233.6,558643
18/02/2019,237.9,241.35,232,233.2,843945
15/02/2019,234.75,240,232.35,237.7,1078885
14/02/2019,237.5,241.25,233.65,234.95,880666
13/02/2019,236,240.05,235.55,238.55,900920
12/02/2019,233.15,240.3,233.15,235.4,893704
11/02/2019,242,243.7,235,235.95,1186958
08/02/2019,244,249.15,240.25,242.05,655511
07/02/2019,242.3,248.25,241.05,245.35,1114210
06/02/2019,245.05,253.5,238.05,244.8,1861940
05/02/2019,244,248.9,241.65,247.6,1638872
04/02/2019,246.7,246.85,237.6,243.55,868024
01/02/2019,245.2,252.45,245.2,246.75,839941
31/01/2019,247.5,248.85,244.1,247.3,701329
30/01/2019,246.6,249.9,244.45,246.5,547517
29/01/2019,246.25,247.5,242.8,246.8,720834
28/01/2019,252.5,252.95,243.9,246.5,628086
25/01/2019,258,261.95,250,251.4,1071678
24/01/2019,262.95,264.35,257.1,258.5,902166
23/01/2019,256.65,264.2,254.6,262.75,2403131
22/01/2019,257.35,260.3,255.5,256.95,668522
21/01/2019,264,265,257.9,258.55,843557
18/01/2019,262.9,268.45,259.4,264.95,2065303
17/01/2019,264.5,265.95,260.7,261.6,923753
16/01/2019,269.2,269.9,262.2,263.3,1065781
15/01/2019,261.2,272,260.75,267.7,2659149
14/01/2019,257.05,263.2,255.2,260.25,1631227
11/01/2019,261.7,262.7,256.1,257.4,1679794
10/01/2019,261,264.9,259.15,260.25,838857
09/01/2019,263.05,265.25,258.6,261.65,856853
08/01/2019,264.4,266.5,260.8,262.75,681268
07/01/2019,262,269.9,262,264.05,1847402
04/01/2019,264,264.8,259.3,261.7,2193261
03/01/2019,254.1,263.9,254.1,260.5,3187049
02/01/2019,258.3,259.9,253.95,255.75,736827
01/01/2019,262.7,262.7,257.55,259.5,537488
31/12/2018,261.15,263.55,259.1,261.8,605373
28/12/2018,261.3,264.2,256.7,258.65,860480
27/12/2018,258.9,265.4,257.4,259,1432931
26/12/2018,256.35,259.85,252.35,255.85,789883
24/12/2018,256.5,262.3,256,257.95,1006585
21/12/2018,267.3,268.2,255.35,256.5,999159
20/12/2018,268.25,270.9,263.5,264.7,1126634
19/12/2018,256.95,272,255.4,269.25,3552397
18/12/2018,259,262.5,255.2,255.95,1118284
17/12/2018,254,263,251.5,258.75,3801459
14/12/2018,261.6,264.95,252.35,253.45,1284834
13/12/2018,258.3,275.05,258.3,265.85,5439812
12/12/2018,249.2,261.25,248.1,259.9,1508377
11/12/2018,238.7,250.45,238.7,246.35,1260462
10/12/2018,253,255,244.05,245.6,1484974
07/12/2018,263.25,265.5,254.45,256.75,1481852
06/12/2018,260,265.9,257.7,261.65,1249497
05/12/2018,263,267.8,258.45,260.15,748936
04/12/2018,270,272.55,261.65,264.45,612044
03/12/2018,271.5,276.95,267.4,270.85,1850457
30/11/2018,261.25,275.3,260.5,270.9,3136436
29/11/2018,253,261.8,253,259.65,935641
28/11/2018,255,257.8,250.6,252.85,950963
27/11/2018,254.5,258.7,249.2,255.4,779049
26/11/2018,261.2,261.9,251.55,255.7,749020
22/11/2018,262,269.25,258.05,260.4,1621766
21/11/2018,258.8,265.4,258.3,261.65,861393
20/11/2018,256.75,265.2,256.25,257.55,1180713
19/11/2018,264.25,265.45,258.1,260.5,554994
16/11/2018,266.4,271.4,260,262.45,1270980
15/11/2018,268.45,268.45,260.1,266.6,713688
14/11/2018,263.4,272.8,263.4,266,1364589
13/11/2018,258.1,267.8,255.1,265.65,1103217
12/11/2018,268.6,269,257.5,259,773981
09/11/2018,263.95,272,263.5,268.9,1145665
07/11/2018,262,265.9,262,265.25,106565
06/11/2018,265.75,268.5,260.8,263.2,1041358
05/11/2018,253.8,269.3,253.8,265.2,2032245
02/11/2018,259.7,261.7,254.2,256.35,1012251
01/11/2018,258.95,264.15,254.55,259.75,2111941
31/10/2018,237.6,260.7,233.2,257.75,7675539
30/10/2018,233.2,239.7,226.5,227.75,1334249
29/10/2018,226.75,240.9,225.8,235.45,1743028
26/10/2018,223,230.65,223,225.35,1290762
25/10/2018,218.8,227.9,218.5,224.6,1289263
24/10/2018,227.2,229.95,219,221.1,1136057
23/10/2018,222.2,229.35,221.55,225.45,894037
22/10/2018,235,237.35,225.25,226.7,1314950
19/10/2018,230,242.95,228.25,235.45,1444964
17/10/2018,247,249.9,231,234,997862
16/10/2018,235.65,246.1,234.65,245.05,1563096
15/10/2018,236,237.75,232.45,235.1,558239
12/10/2018,231.2,237.9,228.8,236,1423951
11/10/2018,227,235.75,222.6,228.1,905845
