Date,TRIDENT-EQ O,TRIDENT-EQ H,TRIDENT-EQ L,TRIDENT-EQ C,TRIDENT-EQ V
29/03/2019,68.75,74.15,68.7,71.7,7875986
28/03/2019,68.05,70.2,67.75,68.4,754554
27/03/2019,67.45,69,66.9,68.35,603790
26/03/2019,65.9,68.7,65.65,67,749095
25/03/2019,66.75,66.75,65.1,65.45,397571
22/03/2019,67.95,68,66.5,66.85,261643
20/03/2019,68.55,68.55,67.2,67.5,260158
19/03/2019,68.85,69.7,67.9,68.45,480938
18/03/2019,70,70,66.3,68.45,1577184
15/03/2019,71,71.85,67.1,67.85,821845
14/03/2019,71.25,72.9,69.9,70.6,1353425
13/03/2019,70.8,71.45,69.05,69.45,711808
12/03/2019,67.3,71.75,67.3,70.75,3765527
11/03/2019,66.5,67.25,66.1,66.9,381926
08/03/2019,66,66.45,65,66,306998
07/03/2019,67.1,67.5,65.25,66.4,554397
06/03/2019,66,68,66,67.05,1189561
05/03/2019,62.45,65,62.45,64.4,710569
01/03/2019,60.8,62.8,60.8,62.35,484563
28/02/2019,59.95,61.05,59.8,60.45,329927
27/02/2019,60.5,62.6,59,59.4,852064
26/02/2019,60,60.75,59.4,60.25,410772
25/02/2019,61.55,61.9,61.25,61.4,260534
22/02/2019,61.25,61.8,61,61.5,344364
21/02/2019,61,61.55,60.5,60.95,272886
20/02/2019,59.6,61.35,59.6,61,303789
19/02/2019,59.35,60.85,59.15,59.5,476957
18/02/2019,61.15,61.4,59,59.35,323768
15/02/2019,61.3,61.65,60.9,61.2,310430
14/02/2019,63.1,63.65,61.1,61.65,1393511
13/02/2019,61.8,61.85,61.05,61.35,319282
12/02/2019,61.45,61.7,61.05,61.35,341193
11/02/2019,62.2,62.35,60.6,61.3,446386
08/02/2019,63.3,64,61.65,62.4,490721
07/02/2019,61.05,63.15,60.5,62.9,377433
06/02/2019,62.3,62.6,59.7,60.95,575455
05/02/2019,65.1,65.1,61.3,62.15,436230
04/02/2019,65.65,65.65,64.5,64.85,204146
01/02/2019,67.2,67.45,65.25,65.5,323753
31/01/2019,66.75,67.5,66.3,66.75,276127
30/01/2019,65.65,66.8,65.4,66.6,445980
29/01/2019,64.5,66.4,63.55,65.55,428375
28/01/2019,65.05,65.25,64,64.55,534385
25/01/2019,66.8,67.25,65.1,65.65,655221
24/01/2019,68.2,68.4,66.25,66.4,523338
23/01/2019,70,70,68.35,68.95,468408
22/01/2019,69,72,68.6,70.05,1960366
21/01/2019,70.35,70.4,68,68.1,581676
18/01/2019,71.5,71.5,69.6,69.95,517614
17/01/2019,71,71.9,70.3,70.8,935269
16/01/2019,72.85,73.5,70.4,70.7,1714872
15/01/2019,70.25,75.7,70.2,72.75,8021356
14/01/2019,70.95,71.3,69.55,69.9,607453
11/01/2019,70.95,71.9,70.6,70.95,1106010
10/01/2019,68.75,71.7,68.5,70.95,3217527
09/01/2019,68.25,68.6,67.35,67.7,290348
08/01/2019,67.5,68.8,67.25,67.9,561111
07/01/2019,67,68,67,67.25,358499
04/01/2019,67.65,67.9,66.3,66.75,354083
03/01/2019,67.9,68.5,67.1,67.3,516672
02/01/2019,67.7,68.4,66.5,67.45,452887
01/01/2019,66.2,68.95,66.2,68.2,1356003
31/12/2018,65.95,66.8,65.5,66.4,335043
28/12/2018,64.9,65.75,64.9,65.45,226161
27/12/2018,64.9,65.4,64.6,64.75,255451
26/12/2018,64.8,65.3,63.8,64.5,276049
24/12/2018,65,65.7,64,65.25,302009
21/12/2018,66.25,66.85,64.6,65,328286
20/12/2018,66.4,66.9,65.65,66.2,252013
19/12/2018,65.55,67.6,65.45,66.55,528946
18/12/2018,64.8,66.1,64.6,65.45,296614
17/12/2018,65.3,65.65,64.55,64.8,251739
14/12/2018,65.25,66,64.4,64.95,325841
13/12/2018,66.2,67.2,64.6,65.1,400870
12/12/2018,64.3,66.9,64.2,66.2,309444
11/12/2018,62,64,61.3,63.7,348964
10/12/2018,64,64.55,63.1,63.3,298365
07/12/2018,65,66.3,64.35,65.5,299801
06/12/2018,65.45,66,64.6,64.8,248386
05/12/2018,67.95,68.9,66,66.65,605990
04/12/2018,64.55,69.45,64.35,68.6,2652779
03/12/2018,64.9,65.8,64.5,64.75,315892
30/11/2018,64.2,66.15,63.9,64.5,401897
29/11/2018,63.9,64.5,63.1,64.1,290366
28/11/2018,64.9,65,63.25,63.6,306273
27/11/2018,64.6,65.9,64.4,64.7,271186
26/11/2018,66.1,66.5,64.2,64.6,367239
22/11/2018,67.1,67.8,66,66.25,284640
21/11/2018,66,67.4,65.65,66.95,303131
20/11/2018,67.3,68.35,65.4,66.35,434448
19/11/2018,69.45,69.55,68.05,68.25,244791
16/11/2018,68.1,70.45,67.65,68.85,657449
15/11/2018,68.8,68.95,67.3,68.05,399453
14/11/2018,70.45,70.8,67.6,68.75,585409
