Date,TVSMOTOR-EQ O,TVSMOTOR-EQ H,TVSMOTOR-EQ L,TVSMOTOR-EQ C,TVSMOTOR-EQ V
29/03/2019,472.8,481,469.25,470.9,1412567
28/03/2019,459.5,476.4,459.5,471.5,1307109
27/03/2019,464,465,457.3,458.85,685928
26/03/2019,465.5,466.75,458.1,460.45,961569
25/03/2019,462.5,468,459,463,1050718
22/03/2019,474.9,479.55,460.7,465.05,1200614
20/03/2019,479.8,479.8,472.4,474.3,1017006
19/03/2019,487.6,487.6,472.05,478.6,1950904
18/03/2019,495.5,496.3,487.5,490.4,1023245
15/03/2019,490.4,509,486.25,493.25,2780053
14/03/2019,498.5,502,488.5,491.55,874219
13/03/2019,497,503.6,492.65,497.9,1078365
12/03/2019,510,511.4,494.25,497,1423160
11/03/2019,489.9,510,487,505.85,1683814
08/03/2019,485.2,492,482.75,487,825189
07/03/2019,495,495,480,486.2,865720
06/03/2019,496,499.5,488.1,490.7,1010273
05/03/2019,471.9,494,469.45,489.8,2166690
01/03/2019,456,468.8,455.7,467.65,1416873
28/02/2019,458,463.75,450.65,452.95,2106648
27/02/2019,461.05,469.35,453.55,456.1,1715937
26/02/2019,460.5,461.5,448.3,456.1,1555842
25/02/2019,472.5,478.4,461.15,462.85,1533842
22/02/2019,465.65,475.7,463,471.5,1215856
21/02/2019,468.8,469,455.3,462.45,1885032
20/02/2019,475.4,479.65,464.25,466.3,1029510
19/02/2019,472,480,470.25,473.05,879465
18/02/2019,480.5,482.9,467.2,469.3,938425
15/02/2019,495,495,475.85,479.1,940652
14/02/2019,483.85,497.2,481.9,494.35,978670
13/02/2019,494.9,494.9,480.1,486.8,775798
12/02/2019,486.2,498.75,486,490.35,538196
11/02/2019,491.5,491.95,479.6,487.95,700436
08/02/2019,500,502.55,491.45,492.9,868085
07/02/2019,489,516.9,489,504.75,2117165
06/02/2019,502.45,502.45,486.2,488.5,1498346
05/02/2019,498,507.25,493,497.35,885677
04/02/2019,515,515,488.6,499.65,2229833
01/02/2019,508.7,532.05,501.05,516.65,2508725
31/01/2019,491.5,506.95,487.35,500,1301064
30/01/2019,498.5,499.5,487,492,878292
29/01/2019,480,498,479.55,495.45,1291358
28/01/2019,494.1,495.75,469.15,477.75,2314265
25/01/2019,519.95,519.95,492.65,496.1,2404333
24/01/2019,527.8,532.5,516,521.75,1479385
23/01/2019,553.95,553.95,523.2,531.55,4608503
22/01/2019,536.4,560.95,521.1,554.2,10304861
21/01/2019,535,540.55,532.6,538.25,320401
18/01/2019,549.9,549.9,531.9,535.65,479977
17/01/2019,552.25,552.9,542.15,547.15,726877
16/01/2019,545,550,544,548.9,535038
15/01/2019,536.8,549.8,535.25,544,963793
14/01/2019,539.6,540.5,531.5,534.95,587034
11/01/2019,540.15,544.4,535.35,540.65,599137
10/01/2019,540,545.8,537.75,540.15,653168
09/01/2019,535.9,544.45,532.5,539.65,1068861
08/01/2019,534.75,540.35,524.05,535.15,1321223
07/01/2019,543.7,545.7,533.35,534.75,629458
04/01/2019,537,545.9,535.65,540.95,857655
03/01/2019,535,544.6,532.75,537.85,1447966
02/01/2019,564.4,575.65,531,535.25,3650090
01/01/2019,570,573.75,561.2,564.55,525625
31/12/2018,567.7,574.45,564,571.25,1059089
28/12/2018,553.6,569.45,549,564.2,1235690
27/12/2018,560.9,567.4,546.7,549.95,2597760
26/12/2018,552.7,566.95,552.7,558.8,1057134
24/12/2018,573.05,575.3,555.6,558.5,1063558
21/12/2018,580.2,586.4,570,572.9,1985113
20/12/2018,575,584.9,569,579.8,1256741
19/12/2018,578,583.6,572.25,576.8,3036073
18/12/2018,571.6,576,565.1,574.5,1064867
17/12/2018,571.05,578.8,569.95,575.1,1057663
14/12/2018,570,575.4,561.6,570,944532
13/12/2018,579.05,579.95,563.35,565.35,3391984
12/12/2018,549.1,575.05,548.15,570.6,9249233
11/12/2018,539.85,555,535.95,552.3,553327
10/12/2018,537,554.85,533.15,547.85,955001
07/12/2018,533.8,544.75,533.8,541.5,655734
06/12/2018,550,552.05,528.75,532.3,719297
05/12/2018,553,556.5,548.55,553.7,1001174
04/12/2018,550,557.45,545,555.05,826232
03/12/2018,556.4,557.5,547,550.6,2129752
30/11/2018,551.9,560,545.05,557.4,1270341
29/11/2018,535.5,554.1,528.85,552,1961841
28/11/2018,542.15,546,531.05,534.9,455977
27/11/2018,535.2,545.4,531.15,542.6,695845
26/11/2018,525.5,537.5,522.25,536.3,721923
22/11/2018,540,541.55,525.7,527.2,795625
21/11/2018,536,545.5,530.15,542.5,427138
20/11/2018,553,554,532.1,538.15,698154
19/11/2018,550.6,555.9,546.3,554.95,469539
16/11/2018,549,555.5,545.55,551.6,497783
15/11/2018,549.25,560.45,543.35,549.8,1109188
14/11/2018,548,557.4,545.5,554.15,628898
