Date,UBL-EQ O,UBL-EQ H,UBL-EQ L,UBL-EQ C,UBL-EQ V
29/03/2019,1383.25,1398.85,1376.05,1394.8,1957997
28/03/2019,1361.25,1399,1337.55,1374.9,1206268
27/03/2019,1353.5,1464.65,1344.75,1354.45,1917438
26/03/2019,1323.4,1354.9,1292,1347.6,737753
25/03/2019,1365,1365,1313.05,1319.25,823017
22/03/2019,1389.85,1391,1362.55,1368.1,177118
20/03/2019,1381.6,1393.7,1374.5,1384.65,626688
19/03/2019,1399.35,1399.5,1375,1381.6,438164
18/03/2019,1388.25,1401,1381.1,1389.75,355515
15/03/2019,1383,1402.9,1372.3,1388.1,712343
14/03/2019,1379,1387.75,1359.4,1378.15,530227
13/03/2019,1395.15,1413,1357.2,1373.25,630853
12/03/2019,1388.9,1406,1385.8,1399.2,589216
11/03/2019,1395,1397.15,1376.1,1381.1,326381
08/03/2019,1397.3,1404,1375.55,1381.8,573826
07/03/2019,1396,1418,1383.5,1388.3,971459
06/03/2019,1382.8,1407.95,1380,1392.4,1408458
05/03/2019,1375.95,1392.95,1370.95,1377.8,729379
01/03/2019,1351.6,1385,1346,1377.95,466142
28/02/2019,1349,1356,1336.05,1343.7,328201
27/02/2019,1339,1359.5,1328.3,1335.7,351905
26/02/2019,1349.2,1353.65,1323,1333.6,386196
25/02/2019,1365.1,1370,1343.65,1357.35,336125
22/02/2019,1360,1371.85,1351.05,1366.8,278676
21/02/2019,1362.9,1378,1352.85,1359.3,350999
20/02/2019,1350,1364,1345.55,1360,394949
19/02/2019,1337,1355.1,1331,1346.3,567112
18/02/2019,1330,1356.05,1325.2,1344.15,341080
15/02/2019,1404,1404.35,1311.65,1337.75,1539798
14/02/2019,1400.1,1413,1388,1403.7,1072882
13/02/2019,1392.6,1409,1385.65,1394.4,1080052
12/02/2019,1383,1393,1378,1389.25,318592
11/02/2019,1377,1397.05,1356.1,1375.2,829992
08/02/2019,1384.5,1401,1364.95,1380.5,485676
07/02/2019,1404,1409.85,1385.7,1389.2,580784
06/02/2019,1426.3,1427.5,1394,1401.95,713513
05/02/2019,1443,1450.45,1407.35,1419.5,594362
04/02/2019,1445,1452.2,1423.05,1438.85,383584
01/02/2019,1430,1469.9,1418.1,1447.15,288391
31/01/2019,1429.1,1450.45,1396.5,1428.8,494458
30/01/2019,1430.1,1446.05,1412.5,1428.45,215269
29/01/2019,1387.15,1453,1387.15,1437.05,453380
28/01/2019,1438.2,1439.85,1378.3,1404.35,318205
25/01/2019,1456.9,1464.95,1419,1427.8,423833
24/01/2019,1442.3,1466.95,1440.6,1448.3,672662
23/01/2019,1464,1464,1442.05,1444.9,415921
22/01/2019,1478.9,1478.9,1447,1459.4,962109
21/01/2019,1410.1,1491.4,1410.1,1485.75,1816942
18/01/2019,1412.15,1420,1388.8,1414.8,163769
17/01/2019,1416.2,1425.45,1402,1410.55,240642
16/01/2019,1425,1430,1412.05,1416.65,371896
15/01/2019,1380.2,1425,1376.45,1419.2,478190
14/01/2019,1370.15,1389.2,1369.1,1380.05,379743
11/01/2019,1371.1,1383.4,1370.2,1377,259158
10/01/2019,1381,1385.7,1367.3,1378.45,620011
09/01/2019,1406.5,1410,1377.1,1385.3,619475
08/01/2019,1390.5,1417.3,1385.05,1410.85,853257
07/01/2019,1373.2,1394.4,1373.2,1389.8,453214
04/01/2019,1377.9,1377.9,1352.2,1371.15,550072
03/01/2019,1352,1382,1352,1368.5,653334
02/01/2019,1355.05,1371.9,1345.6,1355.45,272136
01/01/2019,1372.5,1378.3,1351,1362.7,304025
31/12/2018,1389.9,1395.45,1370.75,1377,645534
28/12/2018,1371.9,1385.35,1364.65,1377.55,578814
27/12/2018,1370,1379,1346.95,1364.95,657703
26/12/2018,1348,1367,1313.1,1358.15,567055
24/12/2018,1374.7,1374.7,1330.4,1350.35,562257
21/12/2018,1372,1381.35,1340.05,1346.4,510834
20/12/2018,1366.7,1388,1341,1369.85,703969
19/12/2018,1380.1,1411.9,1360.45,1368.2,1761931
18/12/2018,1303.1,1384,1300.2,1375.9,2518166
17/12/2018,1267.4,1319.9,1260.25,1303.1,1091604
14/12/2018,1283,1287.15,1251.15,1257.4,997875
13/12/2018,1239.1,1267,1238,1258.2,612052
12/12/2018,1235,1257,1225.3,1236.6,857915
11/12/2018,1202,1238.75,1195.05,1235,283958
10/12/2018,1185.35,1216.8,1185,1207.1,304582
07/12/2018,1230,1238.5,1213.6,1230.6,313253
06/12/2018,1205,1239,1190.35,1226.3,576337
05/12/2018,1236,1236,1193,1207.8,369193
04/12/2018,1238,1240.1,1227.55,1236,257013
03/12/2018,1247,1250.25,1230.5,1237.35,309490
30/11/2018,1238.1,1251.3,1232,1239.9,787082
29/11/2018,1248.7,1253.45,1226,1236.45,305192
28/11/2018,1264,1276.6,1235,1242.65,299198
27/11/2018,1287,1297.7,1258.1,1265,653091
26/11/2018,1314.9,1315,1271.95,1291.5,523403
22/11/2018,1319.45,1337,1291.3,1301.2,621655
21/11/2018,1290,1325,1282.25,1319.95,450819
20/11/2018,1313,1323.7,1276.1,1292.65,416615
19/11/2018,1314.9,1328,1305.2,1317.65,382220
16/11/2018,1320,1326.95,1301.75,1315.6,545565
15/11/2018,1344,1349.45,1292.85,1312.45,1766264
14/11/2018,1310,1313.7,1285,1301.45,864781
13/11/2018,1267,1307,1255,1300,788835
12/11/2018,1260,1287.2,1253.55,1276.65,687139
09/11/2018,1260,1269.3,1248.45,1260.9,446623
07/11/2018,1258.2,1273.1,1250.25,1255.3,32180
06/11/2018,1268.7,1268.7,1235.5,1248.65,304373
05/11/2018,1259,1276.55,1236,1256.5,297433
02/11/2018,1249.9,1287,1239,1258.65,704948
01/11/2018,1239.9,1262.35,1218,1236.15,742300
31/10/2018,1178.9,1231.25,1152,1219.9,758890
30/10/2018,1156.1,1177.95,1145.55,1170.95,727322
