Date,UNIONBANK-EQ O,UNIONBANK-EQ H,UNIONBANK-EQ L,UNIONBANK-EQ C,UNIONBANK-EQ V
29/03/2019,97.6,98.1,95,95.6,11415704
28/03/2019,93.8,97.8,93.1,96.95,15011461
27/03/2019,92.1,94.2,90.85,93.8,13228502
26/03/2019,87.85,92,87.45,91.55,14525146
25/03/2019,85.45,87.95,84.55,87.4,7771097
22/03/2019,89.2,89.3,86.3,86.85,8279854
20/03/2019,88.15,89.15,86.2,88.45,13692304
19/03/2019,84.5,89.4,84.1,87.65,22242435
18/03/2019,83.3,84.1,82.5,83.75,7445309
15/03/2019,83,85,82.45,82.9,11599757
14/03/2019,82.5,83.8,81.45,82.8,8104798
13/03/2019,82.85,83.15,80.7,82.6,11944420
12/03/2019,84.25,85.85,82.05,82.7,15242637
11/03/2019,78.7,83.5,78.7,82.7,13144457
08/03/2019,79.2,80.65,77.9,78.1,8790110
07/03/2019,79.1,81.8,78.4,79.95,11551976
06/03/2019,80.5,81.8,78.4,79.25,12556714
05/03/2019,77.15,81,76.55,80.65,11139738
01/03/2019,72.05,78.45,71.8,77.15,19395161
28/02/2019,70.3,72.1,69.8,71.65,6383643
27/02/2019,70.2,71.95,68.9,70.1,7791959
26/02/2019,69.6,70.55,67.7,69.7,9610206
25/02/2019,71.3,71.65,70.65,71.25,4046656
22/02/2019,71.45,72.15,70.55,71.2,5447748
21/02/2019,73,73.3,70.75,71.55,15866924
20/02/2019,68.8,70.1,68.5,69.65,6424383
19/02/2019,68,70.55,67.6,68.5,8287336
18/02/2019,68.75,69.5,67.5,67.95,5620070
15/02/2019,71,71.15,68.1,68.65,6551655
14/02/2019,69.45,71.65,68.3,70.95,10625776
13/02/2019,70.6,71.05,69.05,69.4,7566417
12/02/2019,72.15,72.7,70.05,70.4,7899565
11/02/2019,72.4,73.05,71.25,72.15,8149862
08/02/2019,78.05,78.35,72.05,72.5,15553054
07/02/2019,79.25,80.9,78.1,78.8,5938788
06/02/2019,78.55,79.7,76.05,79.4,6741919
05/02/2019,79.8,80.65,77,78.15,6870366
04/02/2019,81.25,81.25,78,79.45,6977579
01/02/2019,83,84.35,80.2,81.45,10592499
