Date,UPL-EQ O,UPL-EQ H,UPL-EQ L,UPL-EQ C,UPL-EQ V
29/03/2019,930.1,962.6,926.05,958.85,2106913
28/03/2019,905.9,935.95,896.4,929.05,2452629
27/03/2019,903.35,911.95,894.55,901.9,2085332
26/03/2019,910.55,917.3,891.1,903.3,3647229
25/03/2019,930,931.7,905.8,912.7,2309109
22/03/2019,933.9,941,927.25,934.95,1339685
20/03/2019,930,939.8,927.1,935.4,900335
19/03/2019,929,935,918.35,931.3,1133020
18/03/2019,923.5,935.95,916.8,927.1,1280561
15/03/2019,904,928.4,902.4,923.45,2609765
14/03/2019,911.2,916.25,900.3,903.75,1367655
13/03/2019,900,914.9,892,911.2,1607325
12/03/2019,900,906.9,893.65,898.3,2202033
11/03/2019,889.45,899.45,887.6,896.7,2575062
08/03/2019,871.3,885,863.55,881.75,1780245
07/03/2019,877,877,867.25,872.05,1304920
06/03/2019,879,884.6,866.7,877.35,2096752
05/03/2019,872.8,878.5,865.55,875.5,1365302
01/03/2019,876.1,881.9,868.15,869.75,1659613
28/02/2019,877,881.6,862.2,877.6,2485884
27/02/2019,856.85,871.9,856.85,869.3,3139617
26/02/2019,842.25,857.75,837.55,855.05,2500705
25/02/2019,828,851.9,828,847.65,3685601
22/02/2019,825.9,829.9,819.3,827.35,828622
21/02/2019,825,832.7,818,826.25,1044953
20/02/2019,819.3,829,813.8,822.75,1495943
19/02/2019,821,824.45,812,816.45,1485171
18/02/2019,819.25,830,806.05,821.85,1903564
15/02/2019,819,821,806.2,818.35,1867644
14/02/2019,814.3,824.5,811.65,821.05,1743651
13/02/2019,794,824,792.35,817.2,3034355
12/02/2019,807,812.5,791.65,796.2,2037705
11/02/2019,812,815,801.45,805.85,1159530
08/02/2019,804.5,816.8,800.6,812.2,1395055
07/02/2019,805.25,817.5,802.3,809,1667638
06/02/2019,802,810,796.25,805.25,3747561
05/02/2019,772.85,800,772.85,795.95,2516447
04/02/2019,771.25,775.05,758,770.9,1254011
01/02/2019,799.75,799.75,766.4,779.85,2960388
31/01/2019,775.7,789.9,764.2,786.5,2299676
30/01/2019,763.1,770,755.3,767.35,1057185
29/01/2019,757.5,767.45,747.05,760.3,1134462
28/01/2019,755,764,744,760.05,1226284
25/01/2019,753,767.1,747,753.1,1770239
24/01/2019,765,767.35,742.95,747.35,2109205
23/01/2019,764,782.15,759.85,762.85,2336913
22/01/2019,766.2,772.05,753.45,763.3,1416981
21/01/2019,765,772.85,756.2,769.15,1127435
18/01/2019,768,771,764,766.05,919475
17/01/2019,767.65,773.55,761.75,769.05,1442884
16/01/2019,775.95,775.95,752.6,766.1,2584090
15/01/2019,772.6,782.1,771.95,775.95,1364863
14/01/2019,784,784,766.9,770.4,1392118
11/01/2019,775,787,773,783.45,2603033
10/01/2019,765.8,780,765.05,773.1,2401210
09/01/2019,758,767,753.45,764.8,1039851
08/01/2019,763.5,765,748,752.2,981440
07/01/2019,760,767.75,759,763.75,1589933
04/01/2019,748.8,759.25,743.1,756.4,1060318
03/01/2019,755,757.95,744.25,746.65,1053144
02/01/2019,750,758.45,744,756.5,1308043
01/01/2019,760,765.7,746.5,753.5,1610248
31/12/2018,762,766.25,753.45,758.25,1499975
28/12/2018,752.5,771,752.5,758.4,2247517
27/12/2018,756,759,745.25,749.65,1167096
26/12/2018,737,751.9,728,750.2,1995314
24/12/2018,736,747.7,721,736.45,1786546
21/12/2018,771.05,773.9,733.05,735.65,3492197
20/12/2018,752,774.2,746.85,770,1453122
19/12/2018,746.9,760,745,755.7,1579478
18/12/2018,762,774.1,741,743.65,2006619
17/12/2018,769.8,772,763,768.05,730799
14/12/2018,770,777,758.85,764.75,1586661
13/12/2018,789,789,771.2,773.45,1907746
12/12/2018,750.1,794.3,750.1,790.05,2275207
11/12/2018,740,751,731.2,747.95,1611563
10/12/2018,740,758.5,739.95,746.55,1356394
07/12/2018,753.9,763.8,739.45,757.7,1457822
06/12/2018,747,759,736.65,746.8,2036209
05/12/2018,749,754,737.2,749.4,1270524
04/12/2018,732.7,759.5,732.7,751.45,2730131
03/12/2018,762,762,728.2,732.6,2846330
30/11/2018,780.15,785.5,755.05,757.8,2132736
29/11/2018,775,789.4,762.05,779.1,2804385
28/11/2018,766,779.65,765.5,771.85,1050205
27/11/2018,766,773.9,754,768.55,2047904
26/11/2018,778.3,779.95,758,773.1,1427107
22/11/2018,779,784.9,771.6,778.3,1202373
21/11/2018,760,784.5,760,779.25,2860585
20/11/2018,771,772.8,747,759.2,3285928
19/11/2018,773,777.75,767.3,775.2,2193793
16/11/2018,762,774.65,757.85,771.85,2174834
15/11/2018,761.95,769.95,756,763.65,3199903
14/11/2018,738.2,761.8,736.5,760.25,2952089
13/11/2018,729,739.95,716.4,736.55,1569155
12/11/2018,740,751.7,730.3,733.2,1415482
