Date,VEDL-EQ O,VEDL-EQ H,VEDL-EQ L,VEDL-EQ C,VEDL-EQ V
29/03/2019,178.6,185.4,178.6,184.45,16381196
28/03/2019,177,178.95,175.65,178.05,9758852
27/03/2019,175.3,177.25,173.4,175.45,8484488
26/03/2019,170,174.35,169,173.6,8106156
25/03/2019,170.7,171,167.75,168.25,8243613
22/03/2019,174.2,176.6,173.05,173.9,6311803
20/03/2019,174.25,175.45,172.55,174.55,5703096
19/03/2019,172.1,175.2,171.55,172.7,8901871
18/03/2019,175,175,171.85,173.3,5902016
15/03/2019,173.2,176.5,170.2,175.7,18224411
14/03/2019,171.7,174.7,171.4,173.6,6517558
13/03/2019,178,178.3,171,171.6,9768953
12/03/2019,178.9,180.35,177.3,178.45,10456226
11/03/2019,174,178.75,172.55,177.1,9043700
08/03/2019,174.8,174.8,171.25,172.35,5797559
07/03/2019,178.95,178.95,172.6,176.05,9472601
06/03/2019,177.65,180,176.1,178.5,11031028
05/03/2019,172.95,176.4,172.4,174.95,7667267
01/03/2019,172.45,174.8,172,173.45,11885411
28/02/2019,166.5,171.45,164.2,169.4,39036727
27/02/2019,170,171.45,163.7,164.65,11006707
26/02/2019,168.7,171.25,164,169.7,13247683
25/02/2019,171,171.8,167.4,171.25,10996421
22/02/2019,164.45,170,163.6,169.65,14190345
21/02/2019,161.7,165.6,160.3,164.6,14635838
20/02/2019,154,160.9,154,160.25,17251557
19/02/2019,148.1,154.4,147.85,153.1,12575548
18/02/2019,148.85,151.15,146.65,148,14282136
15/02/2019,151.05,151.2,145.8,147.3,14116428
14/02/2019,150.5,153,149.15,151.75,9962977
13/02/2019,153.9,154.85,150.15,150.7,7375452
12/02/2019,151.9,157.95,150.7,152.85,14116882
11/02/2019,153.7,155.2,147.05,152.15,18188741
08/02/2019,162.3,162.4,149.7,154.15,21667191
07/02/2019,162.95,165.65,161.8,163.45,9437018
06/02/2019,163.35,165,157.75,163.75,13140943
05/02/2019,159.3,164.5,157.25,162.6,14352577
04/02/2019,162.8,165,156.5,161.35,24578563
01/02/2019,179.65,180,158.15,162.15,98562137
31/01/2019,195.5,198.25,193.8,197.35,13404228
30/01/2019,192.9,196.45,192.15,194.1,10015876
29/01/2019,191.5,193.85,189.4,192.65,6230069
28/01/2019,195,195,191,191.5,6045200
25/01/2019,195.1,196.4,192.55,194.7,6437316
24/01/2019,192.9,195.45,191.3,193.5,6195845
23/01/2019,191.5,195,190.6,192.8,7523951
22/01/2019,197.5,197.5,191,191.5,9901151
21/01/2019,200.1,200.5,197.65,198.45,6348706
18/01/2019,199,200,196.25,198.7,8307081
17/01/2019,197.25,198.25,195.4,197.45,6591718
16/01/2019,201,202.25,195.7,196.3,12554389
15/01/2019,193.85,199.8,193.35,198.9,9416350
14/01/2019,196,196,192,193.05,9059869
11/01/2019,195.5,198.3,195,196.6,8245755
10/01/2019,195,196.2,193.45,195.45,8256271
09/01/2019,197.95,198,192,194.75,11205333
08/01/2019,194.5,197,191.9,195.65,14295380
07/01/2019,196.1,198.65,192.5,193.45,11020289
04/01/2019,188,194.45,186.65,192.9,12883382
03/01/2019,193.7,195,187.55,187.95,13968283
02/01/2019,200,200,192.5,193.15,18935386
01/01/2019,202.5,202.85,200.35,202.1,3947501
31/12/2018,201.4,203.6,200.6,202.2,9580784
28/12/2018,197.65,200.65,197,199.4,8693150
27/12/2018,199.65,202.25,195.2,195.85,12890647
26/12/2018,195.95,197.65,193.05,196.4,9449698
24/12/2018,198,199.5,196,196.4,9951166
21/12/2018,204.5,204.55,199.15,200.05,14374440
20/12/2018,205,205,201.5,202.75,13958524
19/12/2018,209.8,209.95,205.65,206.85,11334523
18/12/2018,204.9,210,204.25,208.55,12509870
17/12/2018,212.8,213.3,204.6,205.5,27613999
14/12/2018,199,203.2,198.15,201.6,7637495
13/12/2018,201,202.8,198.3,200.65,10141845
12/12/2018,194.55,200.75,193.55,199.3,11215747
11/12/2018,191.9,195,190.05,193.55,12458158
10/12/2018,191.4,195.65,190.2,192.55,6766286
07/12/2018,197.95,198.3,193,195.7,9185719
06/12/2018,196.9,196.9,191,195.35,15693557
05/12/2018,202.35,204.45,197.45,198.4,12327914
04/12/2018,202.4,206.9,200.6,206.2,10559839
03/12/2018,201.5,205.35,201,202.95,16235433
30/11/2018,200.8,201,194.85,195.85,14713297
29/11/2018,196.5,201.9,196.25,198.8,16248210
28/11/2018,196.2,197.35,192.15,192.95,13300756
27/11/2018,193.85,199.7,190.2,195,21061915
26/11/2018,200,200.05,191,195.8,20552801
22/11/2018,203.9,204.6,199,199.6,12387967
21/11/2018,204,204.4,201,201.9,14273100
20/11/2018,210.25,210.9,200,205.25,18615840
19/11/2018,207.8,212.8,207.4,211.35,10878040
16/11/2018,208,209,205.55,206.8,7998497
15/11/2018,205.3,209.65,202.75,207.55,10248843
14/11/2018,206.5,207.9,203.55,204.1,7525220
13/11/2018,202,206,201,205.6,9244952
12/11/2018,209.75,210.9,202.25,203.15,11801858
09/11/2018,210.95,212,208.3,209.05,6868901
07/11/2018,209.6,211.95,209.1,209.75,2448864
06/11/2018,207.7,213.65,205.3,207.4,19834081
05/11/2018,225.45,227.75,220.8,222.45,13542401
02/11/2018,217,227.35,214.55,225.9,19722750
01/11/2018,213,215.4,208,212.8,17281051
31/10/2018,211.45,213.85,207,211.15,10731974
