Date,WABCOINDIA-EQ O,WABCOINDIA-EQ H,WABCOINDIA-EQ L,WABCOINDIA-EQ C,WABCOINDIA-EQ V
29/03/2019,6767,7100,6524.65,6662.05,102631
28/03/2019,6370.4,6379.15,6301,6336.7,544
27/03/2019,6189.1,6449,6189.05,6340.4,2176
26/03/2019,6274.95,6274.95,6131,6216.8,673
25/03/2019,6232.75,6232.75,6179.95,6193.6,530
22/03/2019,6289.9,6289.9,6175.1,6232.3,1406
20/03/2019,6340,6340,6162.05,6217.8,1732
19/03/2019,6300,6393.2,6200,6210.8,4079
18/03/2019,6406.95,6414,6263.05,6303.35,2045
15/03/2019,6459.95,6479.95,6350,6406.95,1877
14/03/2019,6557.3,6557.3,6400,6414.8,775
13/03/2019,6370,6565,6370,6500.55,2015
12/03/2019,6380,6442.25,6313.15,6386.95,3237
11/03/2019,6399,6399,6270,6302,6678
08/03/2019,6407.5,6488.05,6256,6302.25,2092
07/03/2019,6465,6514.95,6400,6412.1,2099
06/03/2019,6484,6544.9,6390.05,6447.85,1604
05/03/2019,6495.9,6574,6330,6441.1,11839
01/03/2019,6750,6800,6474,6525.4,11043
28/02/2019,6390,6930,6390,6805.85,17939
27/02/2019,6508,6590,6326.55,6393.7,3918
26/02/2019,6099.9,6630,6030.3,6506.6,44306
25/02/2019,5890,6260.5,5862.6,6153.3,59849
22/02/2019,5923.95,5940,5862.1,5908.65,1540
21/02/2019,5950,5959.55,5852,5925.85,2116
20/02/2019,5888.7,6020,5841.65,5947.85,26824
19/02/2019,5936,5979.9,5853,5872.05,1101
18/02/2019,6000,6000,5854,5872.5,1154
15/02/2019,6050,6116.5,5840.1,5952.55,10569
14/02/2019,6219,6219,6050,6063.75,1809
13/02/2019,6180.2,6240,6010,6198.05,8940
12/02/2019,6212.6,6212.6,6121.1,6171.25,10360
11/02/2019,6200,6225,6097,6212.6,1354
08/02/2019,6263,6270,6155,6210.95,648
07/02/2019,6289.95,6290,6215,6241.05,969
06/02/2019,6305.7,6480.8,6259,6299.45,7629
05/02/2019,6071.25,6390,6071.25,6333.05,9854
04/02/2019,6248.95,6248.95,6052.6,6119.1,2314
01/02/2019,6220,6299,6151,6189.2,2175
31/01/2019,6237.4,6289.95,6221,6228.4,2419
30/01/2019,6390,6390,6202,6260.4,1303
29/01/2019,6299.95,6341.5,6070,6284.65,2890
28/01/2019,6400,6400,6152,6249.2,1458
25/01/2019,6450,6460,6190,6262.5,4494
24/01/2019,6342.6,6509.8,6301.1,6459.75,1617
23/01/2019,6350.8,6350.8,6262.2,6326.5,1404
22/01/2019,6340,6389.95,6280,6352.35,5530
21/01/2019,6409,6424,6281.05,6317.4,6979
18/01/2019,6387,6493.8,6345.55,6384.45,747
17/01/2019,6429,6509.8,6391.85,6446.85,2272
16/01/2019,6352.35,6444.35,6345.45,6407.35,4027
15/01/2019,6412.05,6412.05,6321.15,6339.45,1756
14/01/2019,6490,6490,6350.7,6399.15,1347
11/01/2019,6480,6485,6355,6382.05,3142
10/01/2019,6378,6509.85,6375.05,6482.55,3406
09/01/2019,6399.05,6450,6351.05,6379.35,5088
08/01/2019,6524,6539.6,6380,6395.9,2053
07/01/2019,6716.3,6785,6451.5,6474.55,4915
04/01/2019,6782.45,6849.85,6700,6708.55,2057
03/01/2019,6880,6880,6759.3,6790.8,712
02/01/2019,6901.65,6901.7,6820,6853.15,384
01/01/2019,6988.9,6988.9,6840.05,6874.8,617
31/12/2018,6993.5,7005,6849.9,6965.8,3638
28/12/2018,6751,7039.85,6751,6993.6,8549
