Date,WIPRO-EQ O,WIPRO-EQ H,WIPRO-EQ L,WIPRO-EQ C,WIPRO-EQ V
29/03/2019,257.1,259.6,254.35,254.8,5234343
28/03/2019,255.9,257.9,254.1,254.75,7104836
27/03/2019,255.2,256.4,253.75,254.55,3357731
26/03/2019,257.1,258.6,253.4,255,3850516
25/03/2019,262,262,256,256.5,3373962
22/03/2019,262.45,263.75,258.5,260.55,3198029
20/03/2019,258.4,263,258.4,261.55,6114562
19/03/2019,257.8,258.9,255.1,257.45,5051847
18/03/2019,264.75,264.75,256.05,257.6,5748614
15/03/2019,258,264.25,257.2,263.45,8720097
14/03/2019,259.35,259.7,255,256.85,4489473
13/03/2019,262.5,265.6,256.2,257.9,7219723
12/03/2019,261,263.35,260.15,261.35,6290354
11/03/2019,259,260.9,257.45,259.75,7354227
08/03/2019,261.1,262.25,256.55,257.7,27344869
07/03/2019,280,280.3,267.5,268.85,8100134
06/03/2019,274.4,285.9,273.1,277.45,21507060
05/03/2019,281.2,281.69,272.18,273.38,13515990
01/03/2019,278.87,284.47,274.81,282.48,7036417
28/02/2019,281.88,283.23,275.64,277.37,9428265
27/02/2019,285.9,288.61,280,281.5,8009017
26/02/2019,289.1,292.44,286.65,291.47,3802537
25/02/2019,286.32,290.75,285.15,289.77,4678470
22/02/2019,281.95,285.71,280.83,284.77,3194664
21/02/2019,280.3,283.31,278.8,281.62,2573085
20/02/2019,273.08,281.2,271.58,279.85,4410484
19/02/2019,280.11,282.26,272.33,273.27,3064358
18/02/2019,284.81,284.81,278.76,282.41,3480075
15/02/2019,282.14,283.72,278.31,282.78,3522673
14/02/2019,283.01,284.51,281.17,282.03,3074852
13/02/2019,281.8,285.49,280.64,283.8,3297274
12/02/2019,281.32,282.89,276.95,281.95,2977246
11/02/2019,278.87,283.76,277.97,280.49,2972778
08/02/2019,279.32,281.88,277.22,280.23,1400929
07/02/2019,279.7,281.58,277.93,280.9,2243431
06/02/2019,277.56,281.92,277.26,279.85,2179261
05/02/2019,278.2,279.85,275.04,277.03,2456401
04/02/2019,278.2,281.73,276.77,279.14,3143722
01/02/2019,278.27,280.04,273.31,279.36,3366604
31/01/2019,275.19,279.25,273.16,277.59,7694071
30/01/2019,269.92,276.43,269.17,273.12,7408937
29/01/2019,267.67,271.28,265.45,270.23,4620099
28/01/2019,266.43,272.71,266.35,267.03,6899957
25/01/2019,261.84,269.44,261.65,265.75,5236553
24/01/2019,263.31,265.41,260.53,264.47,4230546
23/01/2019,262.14,267.52,261.65,264.32,9937426
22/01/2019,253.23,262.86,252.63,260.53,6681724
21/01/2019,255.64,259.32,250.53,253.98,15621848
18/01/2019,252.63,261.28,250.68,260.26,10091966
17/01/2019,253.38,254.59,249.32,252.18,5289184
16/01/2019,249.47,255.49,247.41,253.05,9896290
15/01/2019,239.85,249.85,236.88,247.97,15070795
14/01/2019,248.16,248.95,234.1,235,6913323
11/01/2019,244.81,248.05,243.23,247.14,1598939
10/01/2019,248.72,248.91,242.86,244.92,3099392
09/01/2019,244.02,250.08,244.02,247.37,3927881
08/01/2019,244.36,246.24,242.56,244.77,2084659
07/01/2019,245.19,245.68,242.33,243.8,1903604
04/01/2019,243.98,245.75,240.34,243.95,2405278
03/01/2019,245.86,246.58,242.89,244.74,3542281
02/01/2019,247.22,249.1,242.86,244.77,3308303
01/01/2019,248.68,250.19,244.66,245.6,1513704
31/12/2018,248.87,250.98,247.41,248.76,2136121
28/12/2018,245.26,250.3,244.96,248.16,2229453
27/12/2018,246.47,249.14,243.61,246.2,5072651
26/12/2018,244.89,246.09,240.11,245.23,2355520
24/12/2018,242.63,248.5,241.65,245.64,4231888
21/12/2018,250.53,251.73,241.17,242.18,9828513
20/12/2018,252.82,255.64,249.89,250.56,2408153
19/12/2018,251.92,257.33,249.17,256.17,3741754
18/12/2018,252.07,254.44,250.04,251.92,3699153
17/12/2018,252.59,256.95,251.43,255.34,3435752
14/12/2018,254.89,257.89,249.85,250.45,4797032
13/12/2018,248.87,258.61,247.37,254.62,5148093
12/12/2018,247.97,249.62,246.58,248.16,2635669
11/12/2018,244.66,250.98,244.21,246.62,4423215
10/12/2018,246.84,253.01,244.44,245.56,3198111
07/12/2018,250.23,252.89,243.95,250.6,3474102
06/12/2018,250.56,252.97,247.37,249.36,2337100
05/12/2018,250.38,254.66,246.73,252.97,3849080
04/12/2018,246.8,256.58,244.89,251.84,5971913
03/12/2018,244.36,247.74,242.89,246.8,2668224
30/11/2018,236.88,245.41,235.86,244.1,6371721
29/11/2018,236.09,238.08,232.78,236.77,2922520
28/11/2018,236.05,237.26,232.52,233.31,6347516
27/11/2018,238.23,242.33,233.83,234.62,4296839
26/11/2018,228.12,240.53,227.56,239.44,6996420
22/11/2018,236.84,239.7,230.08,230.9,3089809
21/11/2018,240.6,240.6,235.53,236.2,2603932
20/11/2018,248.8,248.8,240.68,241.58,2590244
