Date,WOCKPHARMA-EQ O,WOCKPHARMA-EQ H,WOCKPHARMA-EQ L,WOCKPHARMA-EQ C,WOCKPHARMA-EQ V
29/03/2019,435.8,449.9,433.05,443,2590182
28/03/2019,428,437.45,426,432.7,1590555
27/03/2019,432,443.15,427.5,429.5,3894774
26/03/2019,422.1,424.5,417.45,421.9,1058358
25/03/2019,427,438.7,416.5,420.3,2388588
22/03/2019,428.95,430.2,422.5,427.85,836694
20/03/2019,430.8,433.85,424.25,427.15,757132
19/03/2019,430.7,436.6,429.05,431.15,755735
18/03/2019,434.95,434.95,426.6,429,962282
15/03/2019,431.8,438.5,428,430.55,1782635
14/03/2019,428.9,439.6,421.05,431.65,1537188
13/03/2019,438.7,444,425.55,427,1241150
12/03/2019,444,450.8,435,439,2179203
11/03/2019,424,442.7,423,439.7,1849523
08/03/2019,424.8,429.9,416,421.8,1531464
07/03/2019,430.55,436.4,423.05,427.15,1915292
06/03/2019,427.5,437.85,421.25,430.55,3709997
05/03/2019,424.8,431.6,420.1,425.85,2428343
01/03/2019,400.8,427,396.2,420.65,3206426
28/02/2019,397,401.85,393.1,396,1111206
27/02/2019,396,404.1,391,394.85,1481908
26/02/2019,393,394.75,383,391.7,1798575
25/02/2019,395.75,404.4,394.2,397.5,1551423
22/02/2019,398.8,402,392.35,393.7,951506
21/02/2019,393.6,404,392.9,397.4,1814014
20/02/2019,393.4,395.7,389.1,392.65,824487
19/02/2019,391.7,401.3,388.45,392.15,906772
18/02/2019,394.7,397,387.5,389.6,815106
15/02/2019,405.4,405.4,389.5,392.7,1148491
14/02/2019,392.8,416.9,390.3,405.1,1532295
13/02/2019,410.7,413.85,392,396.85,1018978
12/02/2019,407,415.55,403.7,407.85,818406
11/02/2019,412.6,413.45,399.25,407.2,1012571
08/02/2019,419,422.35,405.2,415.15,1071755
07/02/2019,404.9,428.5,403.4,419,2522836
06/02/2019,409.5,412.7,380.35,400,2385005
05/02/2019,420.7,424.5,406.4,411,1228930
04/02/2019,450.5,451.35,418.55,422,1757302
01/02/2019,443.7,455,438.5,449.75,805950
31/01/2019,444.8,448,435,441.45,706054
30/01/2019,446,451.2,440.1,443.8,706195
29/01/2019,444,456.65,437.35,449.05,1494060
28/01/2019,481,481,426.85,444.95,3243195
25/01/2019,486.85,489.4,475.3,478.9,766588
24/01/2019,492.9,496.8,480.2,483.6,794794
23/01/2019,496,500.95,490.4,492.25,666872
22/01/2019,495,497.9,488.2,494.95,815987
21/01/2019,491.7,504.85,491.4,494.7,1701061
18/01/2019,503,503.6,486.6,489.35,1504398
17/01/2019,513.05,513.7,499,501.3,846304
16/01/2019,509.8,516.2,507.9,510.45,681044
15/01/2019,513,514.9,506.8,509.4,749516
14/01/2019,515,518.8,508.1,509.65,670517
