Date,WONDERLA-EQ O,WONDERLA-EQ H,WONDERLA-EQ L,WONDERLA-EQ C,WONDERLA-EQ V
29/03/2019,304.95,311,301.05,310.1,15926
28/03/2019,303.15,310.8,299,301.95,40425
27/03/2019,301.5,309.75,298,300.2,10357
26/03/2019,305,307.55,301.5,305.45,7232
25/03/2019,311,314,298.8,300.15,53695
22/03/2019,308,313.2,307.85,310.5,25154
20/03/2019,311.5,311.75,307.5,308,11747
19/03/2019,309.5,311.95,307.45,309.9,11773
18/03/2019,312.9,312.9,303.7,309.3,11468
15/03/2019,309.05,310.95,301,309.85,11937
14/03/2019,301.15,311.5,300.1,308.3,20175
13/03/2019,303,309,299.5,306.65,38800
12/03/2019,291,306,291,305.1,122471
11/03/2019,285.45,296,282.4,294.9,48577
08/03/2019,284,284.65,281,282.4,22774
07/03/2019,284,284,281,281.5,16528
06/03/2019,284.5,285.5,281,281.4,249921
05/03/2019,284.3,286.75,278.3,281.65,38751
01/03/2019,279.95,282.45,278,281.45,10501
28/02/2019,274.9,289,273,278.05,23202
27/02/2019,276.1,279.9,268.5,272.2,10064
26/02/2019,274.85,277,272,275.1,9717
25/02/2019,274.9,274.9,272.5,274.15,6325
22/02/2019,275.9,275.9,271.35,273.25,14802
21/02/2019,274,285.2,272,273.8,21702
20/02/2019,274.3,278,269.75,270,706674
19/02/2019,270,273.35,266.75,271.6,11433
18/02/2019,274,274,265.95,269.25,17735
15/02/2019,275.3,281,272,273.65,14349
14/02/2019,282.1,282.55,274.2,275.65,14408
13/02/2019,282.6,286,276.1,279.35,11661
12/02/2019,281,286,275.5,282.5,9665
11/02/2019,288.85,289.9,281,283,7719
08/02/2019,294.95,295,283.7,292.35,12009
07/02/2019,285,295,285,294.5,14176
06/02/2019,289.5,291.4,280.5,288.6,9591
05/02/2019,287.85,292,285.3,289.45,15201
04/02/2019,287.35,289.7,284,288.6,6370
01/02/2019,287,291.9,278.35,288.9,24171
31/01/2019,281.25,284,280,282,5657
30/01/2019,280,284.8,280,282.55,16086
29/01/2019,287.5,287.5,276.8,280.8,16525
28/01/2019,287.9,298,280.4,287.55,66632
25/01/2019,279,288.75,272.2,285,193429
24/01/2019,274.25,276.1,269,272.65,12242
23/01/2019,274,276.65,273.05,274.9,27775
22/01/2019,277.15,279.7,271.85,275.25,12223
21/01/2019,281.9,282,277,277.85,18152
18/01/2019,277.8,280,275.25,277.1,15122
17/01/2019,275.9,278.2,274.15,275.7,64414
16/01/2019,270,277.35,270,273.75,27539
15/01/2019,268.65,273.15,267.85,269.8,114022
14/01/2019,266.25,274,263.25,270.6,21669
11/01/2019,266.25,268.95,262.1,267.25,22277
10/01/2019,262,270,262,265.75,22254
09/01/2019,263.95,264,260.25,262.15,13183
08/01/2019,265,274.65,260.5,262.5,25219
07/01/2019,265,268.75,263.4,265,191398
04/01/2019,264.2,267.8,264,265.25,5324
03/01/2019,269.85,271.2,258.7,263.4,37303
02/01/2019,271.95,273,268,268.3,16054
01/01/2019,269.8,273,269.5,272.1,6499
31/12/2018,272,274.5,267.85,269.95,21648
28/12/2018,273.95,276,268.05,270,29067
27/12/2018,280.7,283.55,270,271.35,26969
26/12/2018,270.4,282.9,269.75,279.3,8683
24/12/2018,281,283.9,270,272.8,27720
21/12/2018,285,285.7,280.1,281.8,9167
20/12/2018,287.2,288.3,283.05,284.35,8876
19/12/2018,284.5,289.55,282,284.65,8583
18/12/2018,281.05,287,281.05,285.05,3744
17/12/2018,285.25,287.55,281.35,283.35,8398
14/12/2018,287.3,291.95,280.95,283,20031
13/12/2018,289.1,292.95,280.05,286.45,30010
12/12/2018,279.6,290,279.6,286.9,7012
11/12/2018,271.55,284.9,269.95,283.4,9230
10/12/2018,277,285,273.55,278.05,7656
07/12/2018,283.75,283.9,277.65,278.55,10311
06/12/2018,290.55,290.55,280.5,283.4,51628
05/12/2018,290.1,295,284,290.55,3851
04/12/2018,293,299,286.7,287.3,13844
03/12/2018,290.65,299.8,286.3,292.2,7270
30/11/2018,290,291.4,285.1,289.45,9698
29/11/2018,285.9,290,284.15,289.1,6518
28/11/2018,286.55,291.05,284.85,285.95,6656
27/11/2018,291.1,292.75,284.25,286.65,8105
26/11/2018,296,296,288,288.45,15005
22/11/2018,291,311,290.5,296.85,98453
21/11/2018,284.6,303.85,280.35,297.5,16216
20/11/2018,285.05,288.55,285.05,286.05,3459
19/11/2018,285.6,289.45,283.15,283.95,7074
16/11/2018,292.35,292.35,286.25,289.95,6632
15/11/2018,290.15,291.9,286.95,289.55,5170
14/11/2018,290.8,294.8,286.3,291.25,11599
13/11/2018,289.5,294,283,290.8,10335
12/11/2018,289.2,289.9,285.05,287.7,5833
09/11/2018,282.7,289.75,281,286.5,18076
07/11/2018,284.85,284.9,277,282.8,5317
06/11/2018,283.6,283.65,275.25,277.1,5936
05/11/2018,284.9,285,280,280.9,8169
02/11/2018,279.75,285.25,278.95,282.6,19411
01/11/2018,282.05,287.55,273.1,277.05,20103
31/10/2018,288.5,288.5,279.2,281.4,13937
30/10/2018,270,290,265,285.8,197470
29/10/2018,270.25,279.9,258.7,272.3,113529
26/10/2018,267.2,271.9,267.2,267.6,18610
25/10/2018,269.35,270,265.05,267.95,7357
24/10/2018,275.3,275.3,268.1,269.5,19324
23/10/2018,272.95,280,265.35,273.05,16076
22/10/2018,275.2,277.15,270.05,273.15,24373
19/10/2018,279.55,279.55,273.65,274.8,52542
17/10/2018,283.65,284,275,276.85,20693
16/10/2018,283.15,285,279.4,280.95,33460
15/10/2018,284,287.85,276.7,280.35,21828
12/10/2018,286.05,290,276.1,278.9,16451
11/10/2018,275.8,296.6,270.5,283.4,32637
10/10/2018,265,279,264.1,276.05,77419
09/10/2018,272.15,275,261,262.7,25945
08/10/2018,278,278,271,271.85,15744
05/10/2018,277.05,283.75,275,277.2,19211
04/10/2018,285,285.95,278.1,280.3,15952
03/10/2018,281.5,293.95,276.45,286.45,13911
01/10/2018,286.7,290,275,282.3,16905
28/09/2018,284.75,300,275.1,286.7,25465
27/09/2018,287.9,294.4,280.25,283.15,9195
26/09/2018,284.25,290,284.25,288.05,15094
25/09/2018,290.1,296.1,282.5,286.15,52790
24/09/2018,304,304,287.5,290.1,29582
21/09/2018,302.05,305.9,292,297.75,19554
19/09/2018,301,306.5,300.1,300.75,9941
18/09/2018,306.15,307.8,300,302.65,15052
17/09/2018,309.5,310.8,304.2,307.25,13305
14/09/2018,303,310.5,296,307.7,19832
12/09/2018,299,300.9,294,299.3,14491
11/09/2018,301.05,301.05,296,297.2,15593
10/09/2018,305,306.05,295,300.85,24742
07/09/2018,312,313.4,297.25,301.8,30871
06/09/2018,310.85,315.2,306,311.8,15504
05/09/2018,308,310,305.1,308.2,0
04/09/2018,311.3,314.4,307,308,36984
03/09/2018,319.9,324.9,310,311.3,50915
31/08/2018,322.8,322.8,316.05,317.25,27831
30/08/2018,320,321,316.1,317.5,32685
29/08/2018,322,324,318.5,319.25,48737
28/08/2018,327.9,329.9,321.1,322.1,24937
27/08/2018,321.45,329,319.8,327.55,40653
24/08/2018,324.8,324.8,318.5,319.6,29973
23/08/2018,318.1,329.05,318.1,321,41183
21/08/2018,330,332.95,324.5,325.2,37420
