Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C,YESBANK-EQ V
29/03/2019,277.9,281.5,273.55,275.1,35766426
28/03/2019,270.65,277.7,268.3,276.1,48078072
27/03/2019,258.4,269.85,256.1,268.45,84155309
26/03/2019,247.5,254.8,247.45,253.7,20571726
25/03/2019,250,250.4,246.1,247.25,23540100
22/03/2019,253,257.5,250.35,252.6,34018752
20/03/2019,248.75,253,246.4,252.15,26817389
19/03/2019,246.65,250.5,245,248.8,21448040
18/03/2019,247,248.55,241.8,245.95,24825632
15/03/2019,251.7,252.8,243.5,245.05,38715468
14/03/2019,248,254,246.15,249.85,59684202
13/03/2019,236,247.6,232.7,244.3,58883298
12/03/2019,238,239.2,235,235.85,22100817
11/03/2019,233,238,231.6,236.3,21189817
08/03/2019,231.7,234.9,229.5,232.3,23233663
07/03/2019,235.5,236,228.65,231.7,27229610
06/03/2019,238.1,240.65,232.95,235.3,24658589
05/03/2019,236,240.75,234.5,237.45,30848699
01/03/2019,234.9,238.5,234.1,237.6,42006406
28/02/2019,230,232.75,226.8,231.15,45753501
27/02/2019,233,236.8,223.65,228.2,74650022
26/02/2019,223.2,234.45,220.1,229.5,84298892
25/02/2019,223.85,230.6,221.2,229.1,47825222
22/02/2019,214.5,223.7,213.1,222,51329944
21/02/2019,218.85,218.85,214,215.15,27975632
20/02/2019,216.9,219.8,213.35,217.85,48429455
19/02/2019,215.1,218.1,211.55,212.85,33990276
18/02/2019,201,216.7,201,213.55,89969426
15/02/2019,226.9,226.9,211.3,219,141193124
14/02/2019,186.35,224,186.35,221.25,264725005
13/02/2019,173.95,174.7,168.1,169.45,26229114
12/02/2019,173,176.25,172.1,172.65,22298518
11/02/2019,175.1,176,170.1,173.25,29509227
08/02/2019,177,178.5,173.25,175.1,32561739
07/02/2019,177.1,181.8,175.25,176.95,44494971
06/02/2019,178.9,178.95,173,176.45,45391450
05/02/2019,179.8,183.5,175,176.1,44477885
04/02/2019,184.25,184.7,175.6,179.8,60771732
01/02/2019,195.9,197.2,181.25,185.6,66597684
31/01/2019,202,202.45,190.15,194.1,67794993
30/01/2019,211,212,198.3,199.5,65312137
29/01/2019,207,209.45,195.7,202.9,76651017
28/01/2019,222.45,223,206.1,207.5,58015753
25/01/2019,225,245,218,219.6,183425643
24/01/2019,199,235,189,215.4,127603904
23/01/2019,194.5,199.5,193.65,197.25,46394304
22/01/2019,191.5,193.8,187.4,192.2,38382360
21/01/2019,199.3,200.5,190.7,191.95,37304992
18/01/2019,202,203.05,196.2,198.6,41858021
17/01/2019,209.25,209.55,200.25,201.5,60534702
16/01/2019,204.8,209.15,203.5,208.35,58015710
15/01/2019,196.6,205,196.1,203,82308056
14/01/2019,185,198,182.3,195.35,98089778
11/01/2019,188.7,189.9,182.75,184.25,33594786
10/01/2019,188,188.9,184.2,186.9,36296992
09/01/2019,193.95,193.95,181.5,186.45,63673200
08/01/2019,188,193.2,185,192.35,40559174
07/01/2019,193.9,194.4,185.8,187.15,40515242
04/01/2019,184.85,190.3,181.55,189.65,45914917
03/01/2019,185.25,186,183.5,184.1,20239949
02/01/2019,183.45,187,182.5,184.65,32583205
01/01/2019,182.6,185.9,181,184.25,24160878
31/12/2018,183.2,183.85,181,181.8,18970865
28/12/2018,180,183.3,180,181.45,27142501
27/12/2018,183,183.45,177.05,178.1,44303877
26/12/2018,182.5,182.65,174.25,179.45,47421246
24/12/2018,184,185.5,181.25,182.3,32861722
21/12/2018,188,188.45,180.85,182.95,40864241
20/12/2018,179,187.6,178,186.75,61970822
19/12/2018,180.5,183.15,178.6,179.55,40247602
18/12/2018,180,180.9,176.75,179,35729865
17/12/2018,183.25,184.45,179.45,181,35269769
14/12/2018,172.7,181.6,168.25,180.35,79566067
13/12/2018,193,193.2,172.3,174.7,108920029
12/12/2018,182,187.5,181.55,186.6,71832334
11/12/2018,164.5,179.85,163.8,177.85,85103084
10/12/2018,162,169.5,160,165.65,50379613
07/12/2018,170,172,162,166.2,49750931
06/12/2018,169,172.5,167.35,168.45,38867660
05/12/2018,173.5,178.45,172.2,173.4,52289539
04/12/2018,180.35,182.45,175.25,176.5,68038860
03/12/2018,174,179.5,165.3,178,104720593
30/11/2018,164,171.35,160.45,169.8,120153166
29/11/2018,157.05,167,146.75,160.45,292043464
28/11/2018,180.4,181,160.3,162.1,140720495
27/11/2018,193,193.8,180.35,182.65,70065939
26/11/2018,189,191.95,182.2,187.9,60418383
22/11/2018,200,203.85,194.65,195.55,44350629
21/11/2018,196.1,200.8,194.6,198.15,47627190
20/11/2018,198,199.75,191,192.1,77354754
19/11/2018,198.1,205.95,194.35,204.8,64329717
16/11/2018,201.75,201.75,187.8,191,88101871
15/11/2018,215,217.95,202.25,205.85,60944632
14/11/2018,226.9,229,221,222.4,19780790
13/11/2018,222,226.85,220,225.45,19014119
12/11/2018,230,230.85,221.1,223.05,29069172
09/11/2018,214,229.4,213.2,227.9,40754087
07/11/2018,217.45,218,215.5,215.95,3962712
06/11/2018,212.25,217.9,211,214.45,26924066
05/11/2018,209,212.35,206.1,210.1,21134350
02/11/2018,212.75,215.9,207.65,209.1,51686587
01/11/2018,192,205.75,189.05,204.05,69202992
31/10/2018,185,189.5,179.65,188.1,53264490
30/10/2018,182,189.9,180.65,182.05,43428186
29/10/2018,185,185.9,174.75,181.3,52331613
26/10/2018,178.55,191.65,168.6,180.7,95760078
25/10/2018,202.6,207.5,195,198.35,59170164
24/10/2018,217.5,220,202,204,38009322
23/10/2018,209,216.7,206.5,213.2,28293781
22/10/2018,221,222.35,208.5,211.5,33633639
19/10/2018,225,230.55,213,217.9,50336402
17/10/2018,252.5,254.85,228.5,231.9,37767849
16/10/2018,247,251.4,245.6,248.9,18099074
15/10/2018,248.95,250.6,241.55,246,24694397
12/10/2018,247,254.4,244.5,246.45,43535321
11/10/2018,222,268.95,216.65,240.2,94679663
10/10/2018,229,237,219.4,233.9,52351177
09/10/2018,225.5,233.8,222.6,224.65,49480210
08/10/2018,210,226.6,207.4,221.2,62349640
05/10/2018,215,218.5,203.1,206,40546788
04/10/2018,209.4,220,205.05,215,65604016
