Date,ZEEL-EQ O,ZEEL-EQ H,ZEEL-EQ L,ZEEL-EQ C,ZEEL-EQ V
29/03/2019,443.5,453.8,437.25,445.5,8627261
28/03/2019,426.85,445,426.3,442.8,7121490
27/03/2019,424,428.2,419.1,423.05,4887525
26/03/2019,418.1,427.2,416.6,421,8873124
25/03/2019,431,439.8,414.05,416.45,10544330
22/03/2019,447.7,448.85,431.5,434.85,9029272
20/03/2019,460,460,441.1,443.2,8926752
19/03/2019,462,467.8,457,465.75,3925879
18/03/2019,455.7,463.7,451.6,457.35,4386384
15/03/2019,452,469.7,440.8,454.25,13077954
14/03/2019,455,463,447.95,449.8,6932993
13/03/2019,461,462.5,446.5,448.8,4092092
12/03/2019,458,472.65,453.1,463.6,7745774
11/03/2019,458.45,459.9,450.85,453,4004669
08/03/2019,459,461.6,451.45,455.1,4199115
07/03/2019,476.25,478.55,454.9,459,8463460
06/03/2019,484,486.7,466,470.9,6600928
05/03/2019,484.9,487.3,479.55,484.45,4576304
01/03/2019,467,488.95,466.35,486.35,9336298
28/02/2019,470.35,470.5,458.4,466.7,6557729
27/02/2019,472.7,479.35,454,463.4,12254981
26/02/2019,441,488,440,469.2,16046457
25/02/2019,447.8,454.9,438,445.15,4694262
22/02/2019,443.75,450.8,441.25,448.25,3919632
21/02/2019,444,454.9,440,446.5,5404437
20/02/2019,447,451,438.4,445.05,5484272
19/02/2019,440,451,433,446.45,7740843
18/02/2019,429.9,441.65,424,438.95,6340575
15/02/2019,440.2,441,421.1,431.35,9519734
14/02/2019,414.5,439.9,406.5,433.45,12652652
13/02/2019,415.75,417.95,386.05,408.2,15416976
12/02/2019,404,419,401.6,414.7,6978555
11/02/2019,399,404.9,392.8,401.7,4888722
08/02/2019,405.65,409,396.15,398.8,7589058
07/02/2019,389,411.5,386,408.75,15012316
06/02/2019,367,398,367,388,25112956
05/02/2019,343,369.9,341.05,365.35,12141903
04/02/2019,344.9,361.95,329.1,347.75,25098014
01/02/2019,378.6,399.85,348.6,354.4,24540656
31/01/2019,390.3,390.9,362.3,380.2,21434530
30/01/2019,380,391.65,374.1,388.85,15810931
29/01/2019,369.9,388.5,362.75,377.4,37435712
28/01/2019,350.2,382,320,373.3,121305516
25/01/2019,437.75,439.35,288.3,318.4,74261004
24/01/2019,433.95,439,424.35,433.85,6954715
23/01/2019,424.5,439.8,423.8,432.85,12987032
22/01/2019,436,437.35,420,425.25,6199011
21/01/2019,445,445,434.05,436.65,4326866
18/01/2019,441.8,445,436.2,440.3,4546785
17/01/2019,453.4,457.05,434.2,440.9,8620833
16/01/2019,467.9,475.75,450.2,452.1,19555435
15/01/2019,452.4,463.2,450,456.8,6762709
14/01/2019,450.95,451.75,442.3,448.1,2341591
11/01/2019,452.9,455.25,449.25,451.05,2587687
10/01/2019,452.5,455.5,448.8,451.35,3412584
